id,description,ratingCategory
1554,"
Sweet and lightly smoky on the nose: toasted marshmallow, campfire logs, Sugar Babies, dried orange rind, Nilla Wafer, smoked almonds, and rich hot chocolate. Without water, the proof shows itself, but add a few drops and what was a dry brush fire is now smoked chili-chocolate, cinnamon, black pepper, orange oil, almonds, and a little bacon. Ashy and sweet on the finish, with chili heat, orange, nuts, and chocolate. Potentially divisive in its profile, but its powerful character is undeniable.",1
1663,"
Bunnahabhain has been marketing batches of peated spirit under the Mòine banner since 2004, and this example is the first to have been fully matured in Bordeaux red wine casks. Damp peat, sweet antiseptic, and subtle raspberry aromas. Lots of red berry notes on the palate, backed by milky coffee, peat, and vanilla. Black pepper and berry fruits in the smoky finish.",1
2119,"
Very fragrant. Spicy too, with notes of honeyed vanilla, peaches in cream, butterscotch, cinnamon, licorice (red and black), light nuttiness, and toasted oak on the finish. Nice mouthfeel, well-balanced, and quite rich for such an elegant whisky.",1
3901,"
More widely available than Buffalo Trace’s adored Bourbon Cream, Prichard’s takes premium cream from Wisconsin and adds it to their Sweet Lucy liqueur. The nose is sweet but not overly so, with orange creamsicle and just a hint of whiskey with oak spice. On the palate it’s creamy confection bliss, with ladyfingers covered in heavy cream and candied orange topped with a drizzle of bourbon. Rich, creamy, but not too heavy; file this one as a dangerously delicious guilty pleasure.",0
4486,"
Somewhat forgotten, this table bourbon is ripe with fired-corn salsa, citrus zest, and a hint of butterscotch. It could use another year or two in the barrel, but the grains, caramel, and fruit (with a hint of spice) are delicious on their own. Want a house bourbon for cocktails? This is a fine pick.",0
2189,"
Like its Ledaig stablemate, this Tobermory is offered non-chill filtered at cask strength. Finishing occurred in manzanilla sherry casks. Orange marmalade, nutmeg, and developing vanilla on the nose. Full bodied, with a palate of citrus fruit and soft spices, aniseed, and developing tannins. Lingering in the finish, with spicy plain chocolate. Ultimately, the tannins fade and leave a fresh citric note.",1
2996,"
The official Fèis Ìle  2016 bottling. This is a mix of bourbon and wine casks given a period in virgin oak. The finish initially adds a certain sauna-like element, but then the distillery’s lemon drops and flowers come through, alongside baked apples, coconut, and a touch of smoke. The alcohol burn is negligible, allowing more estery elements, melon, and red fruits to come through. A classic Laddie, in other words. (1881 bottles) £95",1
3871,"
Although the Aussie whisky-making industry started in Tasmania, the distilling bug is spreading across the country. Small-scale the distilleries may be, but the use of brewer’s yeast, local peat (in Tasmania’s case), and wood sourced from the wine industry has immediately given Aussie whisky an identity of its own. Yes, it’s tiny, but every great new whisky, no matter where it is from, chips away at Scotch whisky’s hegemony. Tasmanian-based Bill Lark is the founding father of the modern Australian whisky industry. He uses local peat and ages in small casks — and only does single cask releases. This means that by the time a tasting note is written the whisky has gone, but here’s what I thought of one of them. There’s a glimpse of some fresh malt, but it is the heightened aromatics that are the most interesting here. Lark points to the yeast mix as the origin of this scent. His small stills, however, give a muscularity to the palate, while the oak is in balance. €99 ",0
3029,"
The ruby/antique amber color suggests a first-fill sherry cask; the nose and palate confirm it. This whisky is a mouthful: fruitcake, roasted chestnuts, burnt raisin, candied orange, molasses, leather, tobacco, dark chocolate, wax, and a hint of clove. An incredible amount of sherry, but it’s not cloying. The flavors are clean, complex, and well-balanced.
",1
515,"
Driven by lovely maple syrup and sweet bread pudding, this is like waltzing into a bake shop serving up warm sticky buns—all bready sweet, spice, and dried raisins—laced with toasted oak. The body is delightfully rich and viscous, with a generous jolt of sweetness and spice that pours long and satisfying. The sweet maple, candied nuts, dried berries, and white pepper spice strike a wonderful balance.",1
1224,"
A nose of bold sherry, worn leather, figs, malt, white pepper, and ginger. Ultimately, a mildly savory note. Full-bodied on the palate, with overripe damsons and more ginger; spicy sherry and dried fruits develop. Medium to long in the finish, with persistent prickly spices, black coffee, and fragrant oak. (240 bottles for the U.S.)",1
1645,"
This limited edition bottling is non-chill filtered and initially matured in bourbon barrels before an unspecified period of finishing in sweet Moscatel fortified wine casks from Spain and Portugal. Sweet grapes, dates, cinnamon, salted butter, wax polish, and printer’s ink on the nose. Viscous on the palate, with ripe plums, honey, plain chocolate, white pepper, and worn leather. The finish is long and fruity, with drying oak.",1
392,"
This was distilled in 2012 and matured in 43 red wine casks that had been shaved, toasted, and recharred, hence ‘STR.’ The nose offers rich, creamy, medicinal peat, sea salt, vanilla, and loganberries. Sweet berry notes and caramel on the slick palate, then peat gathers momentum, with cinnamon and tangy citrus fruits. The finish features barbecue smoke, chili, and black pepper. (1,920 bottles for the U.S.)",1
4295,"
A cask from some of the last remaining stocks of whisky from New Zealand’s Wilson distillery. A very unpretentious creamy-sweet malt (fresh vanilla, honey), with subtle floral notes, mint and hints of smoke. A bit youthful in character-especially on the finish. I think two to five more years on oak would enhance this whisky and provide additional depth and smoothness, but it is quite enjoyable right now, at ten years old. 
",0
2726,"
This light-hued bourbon is bright and airy, with tropical fruit aromas of papaya and lychee, vanilla, and sweet lemon curd. While not especially bourbon-like it’s interesting and super-likeable for its Bit-O-Honey candy and pleasingly nutty notes. Last reviewed in 2011.",1
633,"
Comes across initially to me as reserved, perhaps even elegant for a Talisker. Soothing too, with an oily texture. Quite fruity (orange, tangerine, apricot), perhaps even floral, with a delicate pastry sweetness. Then the more traditional Talisker notes kick in -- brine, seaweed, warming pepper -- repeated in the finish. A high-quality Talisker; albeit a bit reserved at times. I love the oily, viscous texture.",1
345,"
A polished, very elegant expression with subtle complexity throughout. Notes of squeaky-clean fruit (tangerine, peach, nectarine, kiwi) in light syrup. Vibrant spice (cinnamon, white pepper, anise), creamy vanilla, and almond evolve on the palate, leading to a gentle finish. Surprisingly lively for a whisky more than 30 years old. When I think of great Glenrothes vintages, I go back to the 1972 vintage for comparison. Both are comparable in quality, with the 1972 vintage showing darker sugars, more weight, and more roasted nuts. 
",1
202,"
This is the first time I’ve been up for reviews here so I had a game plan: play it cool, mark tightly, let everyone know I’m hard to please. Then they gave me this, the whisky equivalent to front row tickets to Neil Young on his current Twisted Road tour: not just a chance to get up close and personal with an old favorite, but to do so with an old favorite who’s on fire. Laphroaig’s owners are intent on ensuring a big peaty engine for any new release, but this is a monster by anyone’s standards. It’s essentially Quarter Cask finished in oloroso sherry casks, so in addition to the intense charcoal smoke attack there are rich fruity notes; blackcurrant and berries. It’s an evening barbecue whisky. Grill that fish until it’s blackened and crispy, drizzle on lemon, and as the smoke rears up in protest, sip this. Big, moody, broody, fruity, and rich: what’s not to love? (Travel Retail and some European specialist retailers)",1
2897,"
Hailing from the Lorraine region, this single malt is double distilled in Charentais pot stills. Orange flesh, lemon sherbet, strawberry bubble gum, candied fruit jellies, grapefruit, and dry spice, with shades of vanilla on the nose. To taste, a wishy-washy orange note with a thin structure hung with milk chocolate, mango juice, papaya, wood spice, and ground ginger, concluding in a pulped-fruit ending.",1
4031,"
It begins with flowers, cardamom, fresh-cut walnut wood, and mint. Notes of fruit, pomace, applesauce, pineapple, and vanilla-iced strawberries take over, but smoke, pear, and apple dominate thereafter. A shorter than expected finish presents hints of chocolate, candied corn, and more smoke. Very nice for punches.",0
1021,"
Sweet confectionary aromas delight the nose with peach cobbler, sweet potato pie, chocolate wafer cookies, peanut shells, and toasted oak. It’s bright and lively on the palate, with excellent texture and balance; roasted pecans, dark chocolate, brown sugar, and tobacco leaf. Expressive fruit—grapes, cherries, blueberries, and blackberries—comes to the fore with a few drops of water, and it finishes full and rich, with pepper and baking spices, nutty chocolate, and drying oak.",1
3385,"
Aged in a sherry cask, and the lush fruity notes add dimension and richness without masking the whisky’s other flavors. Its flavors are reminiscent of crumbled peat thrown over a campfire; damp earth, anise, and floral notes throughout, dovetailing with the lush sherried fruit. Smoky, briny finish. A well-rounded dram. 
",1
1941,"
Rich amber in color, with aromas of fermented fruits, toasted oak, apple peelings, old parchment paper, golden pancakes, and bright aromatic chili flakes and paprika. A soft, gentle dram that caresses the taste buds with caramelized brown sugar, fudge, vanilla, dried apple, ground almond, and a tang of citrus peel. On the finish, the flavor of apple peelings returns after a brief glow of spice. (1,475 bottles)",1
3032,"
A new, cask-strength Glengoyne without chill-filtering. Both features put this whisky in a higher class than the entry level 10 year old. That classic clean maltiness which Glengoyne is known for is certainly in this whisky. With the addition of some water, the whisky really opens up, becoming fragrant, fruity (cherry pits, apples), along with hints of anise and almonds. A nice effort from the new owners.",1
1367,"
Straight, 100% unmalted barley whiskey. This must be a first in modern times. The huge nose gushes unusual aromas of fresh-turned earth, wet corn cobs, sour green apples, anise, cilantro, and dill. An herbal nose becomes an herbal palate bathed in soft crème brûlée and hot, peppery spices. Earthy notes turn pleasantly musty, like damp straw. Finishes long on Scottish porridge. Like all Masterson’s, this barley whiskey is from Alberta Distillers. And yes, Canadian whiskey with an “e.”",1
4023,"
The nose has a conspicuous grain quality to it, like a bouquet of flowers in a nail salon. In addition to acetone, there is orange fondant and the smell of new Legos. Soft marshmallow and orange cream dilute to strawberry candy, soft peaches, and pineapple, but it’s all swept aside by a Tabasco jackhammer that ricochets between the tongue and palate. Finish of Gatorade fruit punch and ginger root. (246 bottles)",0
374,"
Surprisingly clean and youthful for a 30 year old, both on the nose and palate. Complex, too, with a sea breeze freshness, vanilla malt, polished oak spice, smoked seaweed, lightly tarred boat docks, toasted nuts, and lingering telicherry pepper. Mature, yet still quite powerful. Rivals the original Talisker 25 year old and the Talisker 18 year old as one of the finest Talisker whiskies ever released.",1
4118,"
Its deep amber/ruby color suggests a lot of sherry, and one whiff confirms. The whisky is rich and sappy in texture, with lush notes of ripe sherry fruit balanced by dry, mature spicy oak. There’s a pleasant soothing texture to the whisky too, but I do struggle to find the subtle complexities which make some bottlings of Glenlivet so special. There’s just so much oak and sherry dominating. At its best after dinner or with a cigar.",0
1211,"
More smoke than is common from this distillery and age. The aromas are food-related: initially roast ham with caramelized sugars, then a clambake, then oven-roasted lobster. With water, a distinct whiff of the goat shed (nice, by the way). The palate is refined and mature, but with fresh fruits retained, with oak and smoke beautifully integrated. A mature Caol Ila in similar vein to the excellent (and significantly more keenly priced) 25 year old. (7,638 bottles)",1
1166,"
Aged in first and (mostly) second fill sherry casks. The sherry is kept in balance and does not mask Auchentoshan’s subtle beauty. The classic Auchentoshan creamy, grassy, freshness abounds, complemented by honey-soaked almonds, cereal grain, and an array of bright fruit (citrus, sultana, mandarin). Not as polished as the Auchentoshan 21 year old, but quite entertaining. (420 bottles for the U.S.)",1
4123,"
Principally matured in bourbon casks, this expression has undergone a finishing period in sherry casks. Sweet wood polish on the nose, with brief pineapple juice notes and rosehip syrup. Smooth and fruity on the palate, with vanilla, spicy milk chocolate, sultanas, and some earthiness. The finish is medium in length, with sherry and a tang of bitter orange. £47",0
3545,"
A stronger grain distillate characterizes this malt and grain blend aged for under a decade. More forthright than the Original, with mint leaves, fresh orange, dry spices, lemon peel, and the bouquet of aromatic florist’s grasses. Enticing soft fruits are subdued by the grain flavors of spicy green herbal notes and astringent clove, although it mellows to a redeeming finish of sherry trifle and bubble gum. (KY, GA, and FL, with expansion planned)",1
3402,"
The Spey Dram is made up of 36 percent whisky matured in ex-oloroso casks and 64 percent from American oak. The nose offers fresh oranges, brittle toffee, cream, and ginger. The nutty palate reveals fresh fruits, and is significantly spicier than the other Rivers expressions, with ginger and even chili notes. The finish is long and notably spicy, with less chocolate than in the three other Rivers variants, ending with a touch of treacle. £42 Currently not available in the U.S.",1
4121,"
The aim here was to recreate the style of malt made by George Smith, but rather than running peated malt, Chivas Bros. has aged the spirit in Islay casks (not what George would have done). On the upside, this is a classic Nadurra: estery fruits with pineapple to the fore, freesia, pear, and fresh apple, the smoke giving subtle gun-flint notes to the palate. I like it as a dram, but it’s wimped out of what was intended. Marked accordingly.",0
3172,"
With some powerhouse whiskies in the blend (including an '87 Bunnahabhain), it’s a surprise that the nose is so reserved, with citrus, ginger, and honey. On the palate you need your flavor shovel to unearth a core of typically strong flavors, including leather, oak, salt, dark chocolate, and even rancio. It’s delicious but highly elusive. The finish is medium and quite dry. What an odd blend. I haven’t had to work this hard for a blend in a long time. (U.S. only)",1
1712,"
The initial Glenrothes 1995 was released in 2011. This edition comprises first-fill American oak casks seasoned with dry oloroso sherry. Significant sherry cask influence early on the nose, with a savory note, rich fruitcake, cherries, malt, and developing vanilla custard. Supple in the mouth, with honey, berry fruits, and citrus notes. Spicier in time. The finish dries slightly, with cinnamon and a sprinkling of black pepper.",1
428,"
Sheer nectar, dripping with honeyed delights: baklava, maple syrup, syropiasta, vanilla spun sugar, malt wrapped in gentle oak, and a notion of Szechuan pepper. The mouthfeel is flowing and silken, radiating flavors of golden syrup, tangerine, peppercorn, vanilla, light oak, and nougat. As the flavor crests, the sweetness is evocative of Château D’Yquem. This decadent piece of Irish history originated as a Teeling family cask distilled in 1983. (U.S. exclusive, 43 bottles)",1
4100,"
One of a series of single cask, wine-finished Caol Ilas. This one is finished in a claret (Bordeaux) wine cask. The claret adds some bright red fruit notes (raspberry, red currant) and red licorice to accompany the smoke, brine, olive, and vanilla-laced malt. I have tasted some claret/Bordeaux wood-finished whiskies where the wine was too dominant, but this one achieves a nice balance. 
",0
1724,"
This whisky shows no signs of immaturity considering its age. Indeed, enjoying Laphroaig young and at a higher strength is the best way to appreciate the distillery’s true character. Very medicinal and “closed up” neat, but comes alive with a splash of water. Powerful notes of tar, charcoal, smoked seaweed, and licorice root, mercifully tamed by ripe barley and honeyed malt laced with vanilla. Warm, smoky, charred oak finish. (U.S. only)",1
752,"
A combination of 7 to 12 year old ryed bourbons finished in cabernet sauvignon barrels, it’s a caramel lover’s delight. You’ll find fruit in several forms: cherry, blackberry, black currant juice, and strawberry-rhubarb jam. Vanilla lurks throughout, followed by buttered cinnamon popcorn, apple pie filling, nutmeg, and caramel-drizzled bread pudding. Each pronounced note combines for a savory ride to a long, lasting, and delightful finish. A necessity for barrel-finish fans.",1
4605,"
“At last!” they cry. Anchor Distilling is bringing in whiskies from Nikka. I taunted you with the first of the initial brace in 2010, the exemplary Yoichi 15 year old (a hefty 95 points). The second is the firm’s vatted malt, Taketsuru 12 year old. A mix of Yoichi and Miyagikyo distillates, it is the latter which is to the fore here: a honey-laden mix of cut flowers, persimmon, vanilla, and apple. More are on their way.  ",0
1461,"
Each release of the limited-edition Reverie series will be different from the last, as Westland explores the boundaries of single malt blending. Spice and fragrant oak on the nose, delicately floral, with light fruitiness on the palate and a hint of peat. A spicy, white pepper note precedes a lengthy finish of apricot, honeycomb, and then more spiciness. This whiskey floats like a butterfly, but has plenty of heft, depth, and balance. (900 bottles; distillery only)",1
2779,"
A light and sweet bourbon, with butterscotch candy, toasted coconut, lemon curd, marshmallow, and a bit of chalkiness on the nose. The palate is floral, tending toward cedar and sandalwood perfume, with marzipan, milk chocolate, and orange. It finishes with hookah tobacco, toasted oak, and almonds.",1
2734,"
Like the Writers Tears reviewed in this issue, this is from an independent company linked to renowned whiskey maker Bernard Walsh. It is described as of a style popular in James Joyce's Dublin (hence the name). Grain whiskey was a no-no at that time, so this uses no grain and is a mix of malt and pot still whiskeys. For its price and strength it is amazing — a big-hearted and full-flavored whiskey with an oily, apple-y pot still heart and cinnamon, nutmeg, and pepper spices. €38",1
3636,"
The impact given by secondary maturation in small (octave) sherry casks is what sets this range apart. Here, Glen Grant’s light fruits are given a darker twist, with some bodega notes, blackberry, and a surprising note of curry spices before milk chocolate develops; this is particularly apparent on the palate. The palate is gentle and quite creamy (cream sherry?) but it doesn’t like water. A pleasing dram. £99",1
3668,"
Grassy, grainy, and floral on the nose, with hints of citrus, grape soda, and apples. The palate is creamy, fruity, sweet, and light, with creamed corn, milk chocolate, and grassy and floral notes. There’s a hint of spice and a milk chocolate finish. An interesting flavor profile, but the blend of bourbon and Irish single malt whiskey never quite comes together as a cohesive whole.",1
2675,"
The nose is sweet (think barley sugar/boiled sweets) with little bits of wheat chaff flying around in the background with dried flower petals and drying cut grass. Opens dramatically with water into almond milk/horchata and flowers. The palate is sweet and lifted with those gentle florals to the fore. Instead of Tormore’s normal nagging rigidity, this flows sweetly over the tongue, leaving fruit leather, stewed rhubarb, and with water, rosewater and fresh wild strawberry. A lovely Tormore! £118",1
4209,"
Eighteen years? Really? In what? If you're a fan of big oak, don't stop here. All the wood seems to have added is a muddy, earthy note to what is a good whisky struggling to keep its head above water. There's tart lemon meringue in the mix, and creamy crushed hazelnut, an array of spices, and some bread dough. But the earthiness is a distraction. Overall, a bit of a confused kiwi. NZ$126",0
5,"
Monarch, the 75th anniversary limited edition of Canada’s best-selling whisky, raises the already high Crown Royal flavor bar. Zesty rye from an ancient Coffey still is the throbbing heart of this blend, balancing cloves, ginger, cinnamon, glowing hot pepper, and that gorgeous sour bitterness of rye grain against crispy, fresh-sawn lumber, fragrant lilacs, dark fruits, and green apples. Butterscotch, chocolate, toffee, mint, pine needles, and sweet pitchy balsam enrich a luscious, creamy mouthfeel carefully tempered by grapefruit pith. Editor's Choice",0
3605,"
The nose is more reticent than that of its younger sibling, with less spice and succulent fruitiness. A hint of nougat, but overall, drier and ‘quieter.’ The palate is silky, with walnuts and allspice, while fruit notes are provided by plums. Following the overall theme here, the finish is also drier than that of the 16 year old variant, featuring a sprinkling of spicy cocoa powder. Relatively lengthy. Exclusively available to travelers at World Duty Free Group stores in selected airports throughout the UK and Spain. £90/liter",1
1728,"
Some of the first peated spirit produced in the late 1990s at Tobermory Distillery has gone into this bottling, which has been finished in marsala wine casks. The nose yields earthy malt, new leather, printer’s ink, and a final fragrant note. Big, bright flavors of orchard fruits and sweet peat on the palate, plus black pepper and dessert wine. Ashy peat, burnt oak, and lingering pepperiness in the finish.",1
3229,"
Sweet on the nose, with malt, stewed apple, apricots, sherry, and warm spices. Finally, caramel. Quite viscous in the mouth; the palate continues the sweet, malty, spicy theme. Ginger and soft fruits in the medium-length finish. Straightforward and very drinkable. Exclusively available to travelers at World Duty Free Group stores in selected airports throughout the UK and Spain. £46/liter",1
3459,"
The stocks of the “new era” Longrow keep getting older (and better). A pleasingly sweet foundation of burnt caramel, vanilla fudge, and toffeed nuts is challenged by earthy peat, tar, damp barnyard, and brine. Earthy, smoky finish. A nice whisky with great potential, but still needs a few more years. 
",1
2621,"
The latest incarnation of Springbank’s Longrow Red matured for 11 years in port casks before being bottled at cask strength. The nose is sweet, with cherries, caramel, new leather, chewing tobacco, and soft peat. Voluptuous in the mouth, with a palate of rich peat, summer berries, and toffee apples, with growing spice notes, and light oak. Lengthy in the finish, with cinnamon, peat, sweet oak, and red berries.",1
2315,"
One for no age statement naysayers. An eloquent expression of sweet osmanthus, baked lemon, yuzu, violin resin, rich malts, and bonfire aromas on a favorite woolen jumper. It glides across the tongue with sweet barley sugar, but attests to greater depths; grapefruit, spicy ginger, and mandarin developing milk chocolate-coated, candied lemon flavors. A firm finish: green cardamom spices slowly releasing their grip on the front of the palate, leaving clingy vanilla. Unbound by an age statement, it’s a beautiful offering.",1
4231,"
The first thing to note is the strength. It’s surprisingly not that hot initially, rather there are hints of soft orchard fruits, gentle smoke, and seashells. With water, the fruits show up—mango and peach—but the alcohol is still masking things. Water goes in immediately to produce a palate that is cool, slightly sweet, with seashore notes, wet stones, and those fruits, but there’s still a real tension to the whole experience. For the brave. £110",0
864,"
Unpeated Caol Ila has become a staple in Diageo’s Special Releases program. This year’s expression was matured in a combination of refill and rejuvenated American oak barrels and bodega European oak butts. Fresh and spicy on the nose, with tropical fruit aromas. Creamy on the palate, with fruit-and-nut milk chocolate bars, plus notes of developing citrus. The finish is slightly earthy, with wood spices.",1
473,"
A scrumptious nose, with PayDay candy bar, honey on toast, crème brûlée, cherry fruit leather, creamed corn, root beer, and horehound candy, paves the way for the robust flavors that unfold on the palate: cherry Coke, roasted peanuts, earthy oak, and layers of spices. You can taste the age here, encased in complex balance, a chewy texture, and pleasingly high proof. 144 bottles",1
3399,"
This 1992 vintage from Clynelish distillery is part of Diageo’s Distillers Edition range of ‘finished’ single malts, and it underwent a secondary period of maturation in oloroso seco casks prior to bottling. Sweet sherry, honey, and oranges on the nose, with a gentle note of rum and cloves. The palate initially offers vibrant sherry, sultana, and hazelnuts, with developing cloves, angelica, and spices. The finish is medium in length, with a mild note of enduring ginger. £45 (Not available in the U.S.)",1
4156,"
Tullibardine 228 Burgundy is finished in red Burgundy casks from Chateau de Chassagne Montrachet, the home of Maison Michel Picard, which owns Tullibardine distillery. The nose features charred oak, vanilla, milk chocolate-covered Turkish Delight, and mild, sweet chili. Sweet and spicy on the nutty palate, with eating apples, cranberries, and a silky texture. Allspice and damsons in the lengthy finish. ",0
3808,"
Dark Origins is a new addition to Highland Park’s core range, inspired by the distillery’s founder, Magnus Eunson. The recipe embraces twice as many first-fill sherry casks than that of Highland Park 12 year old. Chocolate malt, caramel, and ripe bananas on the nose, with a whiff of coal dust. Silky on the palate, with dry sherry, autumn berries, plus more coal and a spicy, plain chocolate edge. Long and dry in the smoky finish, with black pepper.",0
373,"
Aromatically fruity and quite full, with wonderful depth on the nose and palate. The fruit (golden raisins, apricot, red licorice, papaya) is balanced by restrained honey, vanilla, and fennel. The whisky is always dry but never excessively so. A delicious, ultra-mature whisky. 
",1
2800,"
This unspecified single malt has been bottled non-chill filtered in single cask format. Maturation took place in a barrel that formerly contained Islay single malt. Initially earthy on the nose, with potato skins, salt, and white pepper. Time in the glass teases out fruity, caramel sweetness. The palate is very sweet and zesty, with orange sherbet, along with a nicely integrated maritime note which becomes more pronounced. The finish is spicy and mildly medicinal. £50",1
3712,"
Contract-distilled and aged in Danville, Ky. and bottled by Danville-based Luca Mariano, the whiskey company owned by entrepreneur Francesco Viola. Oak influence and licorice on the nose lead to a light palate of orange peel, grapefruit, bitter oak, and pepper spice. Water unlocks dark chocolate, toffee, and peppery heat. Melon and orange peel punctuate the finish, with hints of almond and coconut. Barrel-forward and youthful, but with some interesting notes. (20,000 bottles)",1
3225,"
Cask # 1013 from Edradour was filled on March 5th, 2002 and bottled on February 26th, 2014 at 11 years of age. It has not been chill filtered and is offered at natural color. The nose yields sultanas, cloves, and sherry, plus an earthy aroma and a hint of machine oil. The palate is silky, with sweet sherry, digestive biscuits, soft spices, dates, and figs. The finish is medium and fruity, with dark chocolate-covered candy. £42",1
5108,"
Although it’s not on the label, Cavalry uses the TerrePURE technology on 4 month old MGP whiskey. Its short time in wood shows. No traditional notes of bourbon sweetness, not even an earthy hint of wood found in many younger bourbons. This is more reminiscent of a neutral grain spirit than bourbon, but masked in the alcohol-centric flavor is a slight sweetness likely representing oak and a hint of grain. Sourced whiskey.",2
1380,"
One of the few remaining age-stated bourbons. Henry McKenna’s color is beautiful. You can hold it up in sunset light and just enjoy the russet and amber hues reflecting. Sweetness, savory, and floral fragrances followed by brown sugar, fresh-baked rye bread, and malt. Caramel and vanilla, with roasted pine nuts and spice, and a slight hint of strawberry lead to a long and savory finish. Balance is the point of this sipper.",1
4619,"
Nosing this whisky, you'd never guess just how fruity it is, with barnyard hay, dry malt, honey, and light smoke. On the palate, however, the fruit is unmistakable with giant mango and apple. The mid-palate takes a sharp left turn into smoke and salt, but the mango just won't let go. A very dry, smoky finish is too dry, making the case against release at this ABV. An oddball whisky that will probably only appeal to a very narrow audience. (U.S. only)",0
