id,author,description,price,ratingValue,pert_alcohol,category
17,John Hansell,"The complete package: uncut, unfiltered, full-flavored, richly textured (almost chewy), and very complex. Notes of toffee-coated nuts, vanilla fudge, polished leather, cedar-tinged tobacco, barrel char, cocoa powder, and a hint of fig, wrapped up with a firm oak grip on the finish. Worth every penny of the premium price being charged for this commemorative release. Editor's Choice.",100.0,96,65.4,2.0
21,John Hansell,"A marriage of four different bourbons, ranging from 11 to 17 years old. This, to me, is benchmark Four Roses: subtly complex, vibrant, yet fully matured, with well-defined flavors of bramble, dry citrus, soft creamy vanilla, caramel, marzipan, allspice, a hint of cinnamon, and subtle cedar-aged cigar tobacco.  Soft, clean, polished oak finish. A very versatile bourbon! Your decision shouldn’t be whether to buy it, but rather how much water to add.",90.0,96,55.7,2.0
22,John Hansell,"Another excellent Stagg, and considering its alcohol level, it’s also a good value if you can get it at this price. Notes of toffee, pot still rum, nougat, dates, tobacco, roasted nuts, polished oak, and leather. Great depth and nicely balanced. A masculine bourbon of character and structure.",70.0,96,71.4,2.0
23,John Hansell,"Sometime recently, the source of this whiskey changed from the now defunct Stitzel-Weller distillery to Buffalo Trace. No matter. This whiskey is still the best of the Van Winkle line. It’s crisp, clean, vibrant, impeccably balanced, and nicely matured. Complex fruit (bramble, candied citrus), caramel, coconut custard, maple syrup, fresh spice (vanilla, warming cinnamon, nutmeg, a dusting of cocoa powder) on a bed of nougat. Outstanding! (Editor's Choice)",75.0,96,53.5,2.0
25,John Hansell,"From one barrel, and only sold in one location, but well worth the effort to procure a bottle. Nutty toffee, pecan pie, apricot, berried jam, and nougat, peppered with cinnamon, mint, cocoa, and tobacco. Warming, with polished leather and dried spice on the finish.  Seamless, richly textured, and impeccably balanced. (Exclusive to the Bourbon Heritage Center at the Heaven Hill distillery in Bardstown, KY.)",150.0,96,45.0,2.0
27,John Hansell,"Definitely showing its age, but not in a bad way — the distillery character is still there. Solid foundation of thick, chewy toffee, old pot still rum, and fig cake. Fruity too, with notes of golden raisin and nectarine. Soft, seductive peat smoke, juicy oak, cinnamon, and brine round out the palate. Excellent balance! One of the finest Bowmore whiskies I’ve ever tasted (and, at this price, will probably never taste again.) (Editor's Pick)",11000.0,96,44.8,1.0
28,John Hansell,"Unlike the standard “small batch” releases, this is from a single barrel: a really good single barrel. I rated the 18 year old small batch a 93 in the last issue, and I like this one even better. There’s less wood getting in the way. It’s softer, more elegant. Lovely fruit, gently sweet (black raspberry jam, blueberry pie), with nougat, creamy vanilla, a sprinkling of cinnamon, and polished leather on the finish. And so drinkable. Classic stuff!",110.0,96,47.0,2.0
29,John Hansell,"Very similar to last year’s release. (A good thing, since it was wonderful!) Very smooth, with layered sweetness (toffee, fig cake, nougat, maple syrup), dark fruit (black raspberry, blueberry), cinnamon, and polished oak on the finish. A whisky of elegance and sophistication. (Editor's Choice)",70.0,96,63.3,2.0
30,John Hansell,"Perhaps the finest Canadian whisky I have ever tasted. Creamy and seamless from beginning to end. Gently sweet, with orange creamsicle, marzipan, sultana, praline, maple syrup, and a hint of coconut macaroon. Forty Creek whiskies have always been very good, but none have ever had the right stuff to reach classic status. Until now, that is. An outstanding, very distinctive whisky!",70.0,96,40.0,4.0
33,John Hansell,"This whiskey has improved greatly over the past two years. (I thought that the 2007 release was almost too easy-going, as some wheated bourbons can be.) A little more oak spice has added balance, complexity, and depth. Very clean on the palate. Layered sweetness (toffee, caramel, maples syrup, elegant rum) provide a foundation for warming cinnamon, bramble, blueberry tart, sultana, light candy corn, herbal tea, and subtle marzipan. A soft, dry, polished oak finish ropes in all the sweetness, keeping me wanting more. Excellent!",65.0,96,67.4,2.0
34,John Hansell,"Very well-balanced and mellow on the nose and palate.  Sweet notes of mature dark rum, toffee, nougat, and candy corn dovetail with dried apricot, golden raisin, hot cinnamon, soft mint tea, and vanilla.  Polished leather and tobacco leaves on a long, contemplative finish.  This is what ultra-mature bourbon should taste like: all the depth and complexity that comes with this much aging, without all the excessive oak.  The wood is there, but it never crosses the line.  The next closest Heaven Hill bourbon in age is the Evan Williams 23 year old for the export market.  There's no comparison.  The Evan Williams 23 year old is way past its prime.  This Parker's Heritage Collection has it easily beat.  In fact, this Parker's shows less oak and lethargy on the finish than the 129.6 proof expression of last year's inaugural 1996 vintage Parker's Heritage Collection, a whisky less than half its age.  (There were three different expressions, and I thought the other two were outstanding).
Parker Beam chose these whiskeys from the third floor of Warehouse U.  Given that the whiskeys were low in the warehouse, the average summer high temperatures were 6-10 degrees cooler than the top floor; helping to slow the aging process and the oak influence.",200.0,96,48.0,2.0
35,John Hansell,"It’s great that Glenlivet releases whiskies under the 'Cellar Collection' label. It really shows the true potential of Glenlivet. This bottling is classic ultra-matured Glenlivet, and rivals the 1959 vintage Cellar Collection as the best one ever. An incredibly complex whisky, with notes of vanilla, ripe barley, coconut, and caramel. All this is accentuated by glazed orange, hazelnut, and a potpourri of dried spices. Not the least bit tired for such an aged whisky. (Only 800 bottles for the U.S.)",750.0,96,50.8,1.0
36,John Hansell,"Powerful, muscular, well-textured, and invigorating. Even within the realm of Ardbeg, this one stands out. The more aggressive notes of coal tar, damp kiln, anise, and smoked seaweed are supported by an array of fruit (black raspberry, black cherry, plum), dark chocolate, espresso, molasses, bacon fat, kalamata olive, and warming cinnamon on the finish. Quite stunning!",85.0,96,57.1,1.0
37,John Hansell,"The Dalmore is one of a handful of whiskies that seem to be able to age in the cask for many decades and still improve. This one is incredibly viscous on the nose and palate (and very heavy on the tongue), with chewy toffee and old pot still rum. The classic Dalmore marmalade note shines throughout, along with vanilla cream, an array of dried spices (especially cinnamon and evergreen), juicy oak, forest bedding, rancio, old armagnac, polished leather, tobacco, maple syrup, dark chocolate, almond macaroon, and subtle espresso. Long, mouth-coating finish. The flavors evolve like waves lapping on the palate -- especially the interplay with the oak. I can’t drink this whisky slowly enough. A rare experience for the lucky few who can afford it. (Price is per 100ml.)",,96,52.8,1.0
38,John Hansell,"A crisp, robust, very dynamic bourbon. Amber-orange marmalade color. Spicy, with notes of cinnamon, spearmint, and Earl Grey tea. The spice is balanced nicely by thick toffee, rhum agricole, caramel apple, and bright citrus, with a polished leather finish. There have been some great Birthday Bourbons, but I think this is the best one to date. A whiskey deserving classic status.",40.0,96,47.0,2.0
39,John Hansell,"Classic sherry cask-aged Macallan. Antique amber with hints of ruby. Thickly textured, complex, and quite deep, with notes of toffee, ripe pit fruit, raisin, apple pie, dried spice (cinnamon, clove, ginger, and mint), and a wisp of smoke. An exceptional, multi-faceted Macallan!",,96,45.4,
41,John Hansell,"My review of this whiskey a few years back indicated that it was too woody and past its prime to be a great whiskey. This one is better. (Yes, bottlings do change.) There’s more balance, and the oak is in check. It’s still big and brooding, with notes of toffee, roasted nuts, dried spice (cinnamon, rosemary, evergreen needles), candied fruit, cocoa, and polished oak. Tobacco and toffee on the finish, with lingering dried spices, and there’s a nice foundation of sweetness to balance all the oak and spice.",220.0,96,47.8,2.0
43,John Hansell,"A wheated bourbon from the old Stitzel-Weller distillery. A gentle, richly-textured whiskey, loaded with fruit and spice. Black raspberry jam, caramel apple, and papaya, along with warming cinnamon and subtle teaberry, on nutty toffee, nougat, and creamy vanilla. Spicy, polished oak finish. Superbly balanced, sophisticated, and very drinkable. An outstanding whiskey!",90.0,96,47.0,2.0
44,John Hansell,"Deep gold color. Surprisingly lively on the nose for its age. A complex array of fruit (tangerine, sultana, pink grapefruit, papaya, and the general overall citrus DNA that you’ll find in old Bowmores), with balancing notes of honey and vanilla. A hint of damp smoke and coconut. Just like with Black Bowmore, this is a texturally soothing whisky on the palate, which continues to evolve in waves -- first the sweet honey, coating vanilla, and lively fruit, then turning quite visceral, with juicy oak, damp earth, deep peat smoke, and charcoal, followed by another wave of fruit (this time, dried fruit), finishing off with subtle charred oak and roasted nuts. This whisky is better than White Bowmore, and it falls just short of Black Bowmore (which I rated 97), because it’s just a bit softer and less vibrant on the palate.",6250.0,96,42.4,1.0
49,Gavin Smith,"This expression was matured in a European oak oloroso sherry butt. Overtly sherried, with figs, sultanas, cinnamon, and old warm leather on the nose. Finally, fragrant, with milk chocolate-coated Turkish delight. The Turkish delight carries over to the palate, before the chocolate darkens to plain, with raisins, smoked ham, and cloves in the long finish. Remarkably, almost no tannic oak. Textbook stuff.",,95,46.6,1.0
50,Fred Minnick,"This is a work of art. It begins by revealing vanilla, from custard to cake icing. Then it speaks caramel with a dark chew, crème brûlée, and Werther’s Original hard candy. From here, complexity takes over, with candied popcorn, butterscotch, chocolate ganache, French toast, maple, honey, pumpkin pie, fried pie dough, blueberries, and cinnamon, with hints of molasses and pecan. The long finish seems to offer a concentration of all the flavors. Delicious. Editor's Choice.",90.0,95,64.1,2.0
51,Davin de Kergommeaux,"Oh, the glory of used cooperage. Woody notes begone—let time slowly breathe life into what began as almost neutral, high-proof corn spirit. Creamy spice, barley sugars, peach syrup, dry grasses, and ancient barn boards. Incredible complexity, yet so tightly interwoven it achieves oneness. One hundred points until a campfire bursts onto the finish and consumes five of them.",165.0,95,50.0,4.0
53,Davin de Kergommeaux,"This 100% rye-grain whisky is distilled in Alberta, then shipped to Sonoma, California for final touches. Finished in new American oak, batch PSA3 is one of the tastiest U.S. bottlings of Canadian rye ever. Soft caramels cushion ethereal honeysuckle, blackened firewood, and lusty rye spices on a framework of pulling oak tannins. Hugely complex, with new rewards in every sip.",89.0,95,45.0,4.0
56,John Hansell,"Seamless in flavor and very elegant. A fully matured bourbon (consisting of whiskeys from 11 to 16 years in age), yet quite fresh on the palate. Lively fruit (apricot, red raspberry, tangerine) on a bed of lush sweet notes (caramel, honey-coconut crème brûlée and cotton candy), peppered with cinnamon, clove, and crisp mint. Soft finish, with lingering creamy vanilla. Not as great as the legendary 2013 release, but close.",120.0,95,54.3,2.0
58,John Hansell,"A benchmark aged rye whiskey, and it’s similar in profile to recent releases . Vibrant for its age. Complex too, brimming with allspice, clove, mint, and cinnamon. The spice notes are balanced by soft vanilla, soothing caramel, and candied summer fruits. Impeccably balanced, and a pure joy to drink!",80.0,95,45.0,2.0
59,John Hansell,"Aged 11 years, this year’s single barrel release is a lively mix of caramel and bright, zingy orange on palate entry. Cinnamon, vanilla, and mint emerge mid-palate, leading to polished oak, baked apple, and a hint of leather on the finish. A lively bourbon, with crisp, clean flavors and nicely balanced. Another winner from Four Roses.",100.0,95,60.0,2.0
62,Gavin Smith,"Maturation of this 1978 distillate has taken place in European oak and refill American oak casks. Fresh and fruity on the early, herbal nose; a hint of wax, plus brine, developing walnut fudge, and an underlying wisp of smoke. Finally, wood resin. The palate is very fruity, with mixed spices, then plain chocolate, damp undergrowth, gentle peat smoke, and finally coal. Mildly medicinal. Ashy peat and aniseed linger in the long, slowly drying finish. Brora at its very best. (2,944 bottles) Editor's Choice",750.0,95,49.9,1.0
63,Dave Broom,"The whisky is sensational, a glorious mix of ginseng syrup, baked banana, semi-dried tropical fruits, and an exotic smoked edge. Without the last, you could believe it was a delicate Cognac. In time, there’s peppermint and guava syrup. A sip is all you need to reveal perfect, thrilling harmony: light nuttiness, pollen, subtle fruits, gentle smoke, and light fungal touches. It’s stunning, but it’s £16,000! Whisky this great, even in limited quantities, should be fairly priced. Points off. £16,000",26650.0,95,40.7,1.0
64,John Hansell,"Still lively for 18 years old, with no hint of interfering oak. The age has softened the rye spice, making it an easy entry into the premium rye category. The balance here is beautiful, with rounded spice (mint, cinnamon, licorice root) on a bed of soft vanilla and caramel. Gently, dry finish. Very sophisticated for a rye. It remains my benchmark for extra-matured rye whiskeys, which are becoming exceedingly scarce. Buffalo Trace Antique Collection 2013 Release.",70.0,95,45.0,2.0
65,John Hansell,"The traditionally gentle demeanor of this wheated bourbon is jazzed up with some lovely complex spice (mostly coming from the oak). Sweet notes of maple syrup, silky caramel, blackberry jam, and blueberry are peppered with notes of allspice spiked with cinnamon and vanilla. Soft leather on the finish. Great balance. A lovely whiskey! Buffalo Trace Antique Collection 2013 Release.",70.0,95,68.1,2.0
66,John Hansell,"Less alcohol than past Staggs, even at 128.2° proof. This whiskey has always been one of the best in the portfolio, and its reputation is intact. Sweeter and fuller in body than recent releases, and not as masculine, making it easier to drink. (Don’t worry; it’s still a big Stagg, but with a smaller “rack.”) Vanilla taffy, nougat, dates, polished oak, roasted nuts, leather, and tobacco: it’s all there. Buffalo Trace Antique Collection 2013.",70.0,95,64.1,2.0
68,John Hansell,"The key to bourbons that use wheat instead of rye (like this Weller), is to get the right amount of wood influence to balance the sweet notes and add depth. This whiskey does a great job of it. Notes of dark fruit (blackberry, plum, blueberry), layered sweetness (maple syrup, toffee, caramel), and dried spice (cinnamon, vanilla). Soft, pleasant finish.",70.0,95,61.7,2.0
69,John Hansell,"At this strength, it’s almost like getting two whiskeys for the price of one. A great value, considering its age. (It’s not identified on the label, but was distilled in 1993.) Try to find a great 18 year old, cask-strength single malt scotch for this price. Very mature — with a good dose of oak — but not excessively so. Notes of toffee, tobacco, dark molasses, roasted nuts, dried vanilla, leather, and a hint of dusty corn. Dry on the finish, with lingering leather and tobacco.",70.0,95,71.3,2.0
70,John Hansell,"No age statement, but distilled in 1998. The only wheated recipe bourbon in the 2011 Antique Collection, and a very good one at that. Higher in strength than last year’s offering (which was 63.3%), but very similar (and equally as impressive). The most elegant and smoothest of this collection, with layered sweetness (honey, caramel, marzipan, maple syrup), fig, blackberry preserve, hint of green tea, and just the right amount of spice for balance (nutmeg, cinnamon, cocoa).",70.0,95,66.75,
72,Dave Broom,"Though Brora has acquired cult status, it has to be said that for a few years these Special Release Broras went through an off-putting butyric phase, which might well have put off newbies to this legendary closed site, who must have wondered what all the fuss was about.
One nose of the 2010 SR shows that these days have been consigned to the past. This is classy from the word go. Gold in color; the nose manages to be both overtly waxy — I’m reminded of waxed paper — and fragrant. Behind that is coal smoke, rather than the heavy peatiness of earlier vintages (Brora’s peating levels varied in its last years). In other words, this is robust and powerful, with an evocative aroma that speaks of old sea chests, the seashore, and vellum. Hugely concentrated, with massed fruits — quince especially — following behind. This is amplified with a drop or two of water. 
The palate is unctuous and heavy. Tectonic plates move more quickly than this does in the mouth. When it does, the oily/waxy textures and flavors move slowly — camphor, peach, membrillo, hints of citrus, and toward the finish a growing brininess (akin to olives) and a hint of smoke. Elemental and one of the best Broras for years. [not available in the U.S.]£280",455.0,95,54.3,1.0
73,John Hansell,"An excellent example of an ultra-mature, sherried whisky done the right way. Much darker and more decadent than the other two releases here. Silky texture. Rummy, jammy fruit, toasted walnut, leather, spice (cinnamon, clove), tobacco, and dark chocolate, with a foundation of juicy oak. Tasting this whisky, you know it’s old, but you also know it’s very good.",2525.0,95,44.6,1.0
74,John Hansell,"Surprisingly light and fresh for a 15 year old whiskey. Crisply spiced, with cinnamon, evergreen, vanilla, anise, and teaberry. Hints of dried fruit, kissed with light honey and a wisp of smoke. Balanced and clean throughout, and very drinkable. An excellent whiskey! Price is per 375ml.",47.0,95,45.0,2.0
76,John Hansell,"Glenfarclas has a proven track record for aging very well. I’ve enjoyed some amazing 25 and 30 year old expressions, in addition to some older vintage offerings. Does this new 40 year old follow suit? Absolutely! It’s complex and well-rounded, with great depth and no excessive oak. Lush, candied citrus (especially orange), old pot still rum, maple syrup, fig, roasted nuts, and polished leather, with hints of mocha, candied ginger, and tobacco. A bit oily in texture (which I find soothing) with good tannic grip on the finish. A classic, well-matured Glenfarclas — and a very good value for its age. (Editor's Choice)",460.0,95,46.0,1.0
80,John Hansell,"A marriage of three casks, one of them an ex-sherry butt. The sherry is certainly evident, and this is more sherried than many of the Cellar Collection whiskies to date. Opulent and seductive, with prominent fruit (glazed spiced oranges, ripe peach, and hints of pineapple and coconut), caramel-coated nuts, and vanilla custard. A peppering of ginger and cinnamon throughout. Coating, soothing finish. Polished and seamless, with no trace of excessive oak. One of the richest -- and finest -- Cellar Collections to date. Anyone willing and able to cough up the bucks for this whisky will be richly rewarded. (Only 240 bottles available in the U.S., beginning June 2010.)",,95,49.0,1.0
83,John Hansell,"Like the William Larue Weller releases a couple years back, I felt that the Stagg releases (after being brought down in strength) were almost too easy-going. Like the new Weller release, this bourbon has improved greatly, to classic status. Clean, balanced notes of toffee, molasses, nougat, polished leather, dates, roasted nuts, cinnamon, subtle summer fruits, teasing mint, ground coffee, nutmeg, and a hint of tobacco. Long, balanced finish. An outstanding bourbon!",65.0,95,70.7,2.0
84,John Hansell,"This whisky has all the positive aspects of a very mature whisky (depth, complexity) without all the negative ones (excessive oak, one-dimensional). Very clean, but oily in texture, with honeyed vanilla, caramel, citrus (tangerine, orange, lemon), nectarine, olive brine, black pepper, ginger, cut grass, mustard seed, and just the hint of teasing smoke. Briny, spicy finish. Wonderful!",400.0,95,53.2,1.0
85,John Hansell,"Distilled in 1986. An excellent old wheated bourbon. Soothing oily texture, with notes of toffee, old rum, nougat, vanilla bean, candied fruit, black raspberry, corn bread, hints of Earl Grey tea, cinnamon, and nutmeg, with a smooth, polished oak finish. I recently reviewed a Pappy Van Winkle Family Reserve 23 year old (bottle #B1986) at 47.8%, which I also thought was outstanding, with a comparable flavor profile (although some earlier bottlings I tasted years ago were heavy on the oak), and it was priced at $220. Given this, you need to ask yourself if you want to pay the extra $130 or so for the higher strength, special decanter, pair of glasses, and wood box that comes with this new ORVW Family Selection. Or not.",350.0,95,57.0,2.0
86,John Hansell,"Very elegant, bright, and silky smooth, with honey-kissed summer fruits, subtle tropical fruit (papaya, coconut, pineapple), gentle caramel, sweet corn, and soothing vanilla, along with a dusting of cinnamon, nutmeg, and crisp mint. Pleasing, gently spicy finish. The most impressive aspect of this whiskey isn’t its variety of flavors (they are fairly traditional for a bourbon this age), it’s their integration and remarkable balance! It’s also perilously drinkable. I can’t speak for the other barrels, but if you can track down some bottles of Barrel No. 1, buy two! You won’t be disappointed. Let me also note what a great value this whiskey is, compared to the way other premium American whiskeys are being priced.",26.0,95,43.3,
90,John Hansell,"Dark and decadent. Notes of old pot still rum, roasted nuts, chocolate fudge, burnished leather, Dundee cake, tobacco, and a hint of damp peat. When I drink this, I feel like I’m sitting in the study of a stately Scottish mansion contemplating a fine, aged Cuban cigar. Royalty in a glass. (Bottled for Binny’s Beverage Depot)",280.0,95,54.4,1.0
91,John Hansell,"The flavors evolve on the nose and palate, with peat kiln smoke, fresh asphalt, damp earth warehouses, morning-after campfire ash, and old boat dock contrasting nicely with toffee apple, crème caramel, delicate raspberry preserve, and dried citrus. Long, smoky, spicy, briny, seaweed, dirty martini-tinged finish. This whisky comes from a combination of both sherry and bourbon casks, and the marriage works. I also like that it retains some of its youthful brashness, while showing the depth that maturity affords a whisky. A delicious, well-balanced, old-fashioned Laphroaig.(Reviewing this whisky gave me an excuse to open a “fresh” bottle of its predecessor, the 30 year old, and here are my thoughts. The 30 year old is softer, mellower, drier, and more debonair. The 25 year old is bolder, more youthful, more dynamic, richer, and sweeter — bottling at cask strength really helps here. Both whiskies are very nice, but quite different in personality.)",500.0,95,51.2,1.0
92,John Hansell,"Bottled in 2004, but just recently put in circulation here in the U.S. (Very strange.) It’s worth the wait. It’s fresh (even at 22 years old), appetizing, spicy, and briny. There’s a sweet foundation of vanilla wafer and caramel, with a slightly oily texture. White pepper, seaweed, mustard seed, lime, gherkin, and teasing gin botanicals add complexity. Spicy, salty finish. A vibrant, dynamic expression of the shuttered original Clynelish distillery. Quite stunning, actually. Find yourself a bottle before they’re gone!",200.0,95,50.0,1.0
93,John Hansell,"There are two noteworthy items regarding this whiskey. It’s the first barrel-proof whiskey released by Heaven Hill for the U.S. market. It’s also the first of what will be an ongoing series of releases under the “Parker’s Heritage Collection” label. This one is rich, with thick toffee, molasses, vanilla fudge, and Heath bar. It’s also well balanced, with underlying exotic spice, summer fruit, dusty corn, and tobacco to balance the sweeter notes. Long, soothing, finish. A nicely matured bourbon of character and pedigree. (Originally reviewed in Volume 16, No. 4)",80.0,95,61.3,2.0
95,John Hansell,"Cask #3145 is the lighter in color, and the sweet notes that balance the smoke and seaweed are not as deeply caramelized as Cask #3542. I’m tasting hints of shortbread and caramel, which show through the peat smoke, tobacco, toasted nuts, firm spice notes (cinnamon, clove, and mint), and lingering brine. Very complex. Price listed includes the entire Double Barrel 1974 Vintage set.",,95,49.9,1.0
96,John Hansell,"Crown Royal has always been a very stylish, silky smooth whisky. This bottling adds a new dimension in flavor and texture with its cognac cask finishing. A velvety smooth whisky with notes of creamy vanilla, butterscotch, nougat, dried fruit, and gentle spice are well-defined and nicely balanced. Gently sweet, fruity finish. Crown Royal’s best effort to date.",100.0,95,40.0,4.0
97,John Hansell,"Quite fresh and appetizing for a 35 year old whisky, but not too surprising for a Springbank. Notes of creamy vanilla, burnt caramel, coconut custard, brine, and a hint of anise. Complex, vibrant, and well-balanced. Reminds me why I love those old Springers. Devotees will not be disappointed. A stunning whisky! (Exclusive to Astor Wines and Spirits.)",300.0,95,50.5,1.0
98,John Hansell,"Amber color. Richly textured (great mouth feel), with vanilla fudge, nougat, ripe citrus, and ginger cake leading to a complex, spicy finish. Great depth on this one. Well-polished. My pick of the lot.",215.0,95,45.7,1.0
99,John Hansell,"Batch #1, while a very good bourbon, didn’t quite seem to reach its potential. The flavors were there, but were not integrated and as cohesive as I would have hoped for in a four-grain, pot-distilled bourbon. Batch #2 has realized this whiskey’s full potential. The flavors I expect are all there, and they are more tightly integrated and polished. It really does taste different than any other bourbon on the market. I particularly enjoy its silky, creamy, nutty sweetness, which is balanced nicely with dry spice notes that peak on the finish. It’s very soothing and enjoyable. A whisky for bourbon and scotch drinkers alike.",85.0,95,46.2,2.0
100,John Hansell,"Creamy, silky texture on the palate. Richer than the flagship Crown Royal, but still quite clean on the palate. Along with creamy vanilla, delicate fruit and floral notes, you’ll also find caramel and butterscotch, a peppering of spice (particularly cinnamon), and light nougat. Silky smooth finish. A benchmark whisky in the traditional Canadian style.",40.0,95,40.0,4.0
101,John Hansell,"With the Ardbeg 17 year old off the market, it’s nice to see a new Ardbeg in the line-up. Uigeadail costs about the same as the Ardbeg 17 did but, with Uigeadail, you’re getting a much more interesting whisky. Uigeadail consists of a marriage of younger whisky (from 1990 and 1993) with much older whisky matured in sherry casks. The marriage works exceptionally well, with the younger whiskies providing the classic Ardbeg intensity many of us have come to expect, while the older whiskies contribute depth, maturity, and complexity. And bottling the whisky at cask-strength without chill-filtration ensures that none of the flavors are stripped out. This is an incredibly complex Islay whisky, with its bonfire smoke, brine, and peppered olive notes balanced by a taming sweetness of vanilla, marshmallow, and toffee. Interwoven notes of candied fruit and sugared almonds round out the palate. Incredibly long finish.",70.0,95,54.2,1.0
102,John Hansell,"It has been quite a while since we’ve seen a new Glenfarclas here in the U.S. but, after tasting this whisky, it was worth the wait. Glenfarclas is a rich, stylish whisky that ages very well, and this 1968 vintage proves it. It is very deep and mature, with complex fruit (sultana, marmalade) layered by sweetness (honey, caramel, and toffee). All those years in oak contribute another dimension to the whisky, providing a dry, oaky spiciness, polished leather, and a hint of tobacco-especially on the finish. Never does the whisky taste tired or excessively woody. It expresses all that is good about an older whisky, without any of the down side. I’m told that most of the 1,400 bottles imported to the U.S. went to the Chicago area. It’s worth taking the extra time to track down a bottle.",200.0,95,,1.0
