company_location,company_name,description,title
"San Francisco Bay Area, CA",SSIT,"Contractwill lead technical discussion, and implementation of projects related to growth areas. You'll help us evaluate new and emerging technologies and determine applicability to current and future projects., Architect and design new software product features, help drive projects to completion, define system technical use cases and architecture specification in alignment with business/product requirements.SkillsStrong background in Data Science, Machine Learning, Deep Learning system architecture, design, implementation and deployment. You have deep knowledge of software development background, on open source cloud technologies and application platforms and are a strategic thinker (system level) that can look at the big picture, abstract workflows and provide technical assistance in technology to be used at the strategic level. If so, we're looking for you!Our Minimum Requirements are:* Ph.D. or Master’s degree in computer science or equivalent* 7+ years of experience in building large scale, high performance, ML/DL based systems and Strong Computer Science fundamentals (algorithms, data structures)* Experience with Big Data technologies (Hadoop and other frameworks in Hadoop ecosystem, Elasticsearch, etc.)* Working experience with building ML models, Neural Networks, or any Deep Learning techniques* Extensive experience solving analytical problems using quantitative approaches, operations research and optimization algorithms* Comfort manipulating and analyzing complex, high-volume, high dimensionality data from varying sources* Fluency and facility with one or more of the following programming languages: Java, Scala, Python.* Knowledge of tools such as SPARK, TensorFlow, Microservices, Kafka, HDFS, HBase* Excellent written and oral communication skills, able to communicate with all levels of internal technology teams and business teamsDesired Skills:* Passion for answering hard questions with dataJob Types: Full-time, ContractExperience:Hadoop: 1 year (Preferred)Scala: 1 year (Preferred)TensorFlow: 1 year (Preferred)Java: 1 year (Preferred)Education:Doctorate (Preferred)",Senior Data Scientist
"Dallas, TX",AustinCSI,"Data Scientist with 2 years or more experienceRequired skills:Excellent visual, written and verbal communication skillsAbility to work alongside a teamProficient with SQL, Hive, H2OExperience working with HadoopBachelors degree in Computer Science or a related field or equivalent2 years experience as data scientist or similar analytics professional roleJob Type: Full-timeExperience:Analytics: 2 years (Preferred)Data Scientist: 2 years (Required)Education:Bachelor's (Required)Location:Dallas, TX (Required)",Data Scientist (2 years)
"Dallas, TX",AustinCSI,"Looking for a Data Scientist with 5 years of experience or moreRequired skills:Excellent visual, written and communications skillsAbility to work with a teamProficient in SQL and HiveExperience working with HadoopProficient in Python programmingNatural language modeling is a must haveMasters degree in Data Science, Computer Science, Math, Physics or any related field. Ph.D is a plusJob Type: Full-timeExperience:Data Scientist: 5 years (Preferred)Education:Master's (Required)Location:Dallas, TX (Required)",Data Scientist
"Lake Forest, IL","TSI - Transworld System, Inc","TSI, is a leading supplier of specialized business process outsourcing (BPO) services that are delivered in our call centers through a diverse workforce across North America supporting clients in multiple vertical markets comprised of banks, energy and utility companies, health care providers, universities, and government organizations. We support the entire customer lifecycle that includes customer acquisition, full loan servicing, delinquency management, and collections utilizing a combination of voice, chat, email, SMS, and interactive voice messaging channels. As a result, employees enjoy the opportunity to grow, develop and build long-term careers in exciting industries, supporting the best brands in business, all while earning tenure with a specialty BPO leader. TSI represents a new company name, but one with over 40 years of experience and success serving these markets.About The RoleTSI is building a new predictive analytics team to better leverage our vast sets of first party and third party data to improve the efficiency and effectiveness of our global operations teams. This will be a key role with significant visibility to senior leadership and potential for positive impact on the businessResponsibilities: Review and assess existing collections strategies including account prioritization, contact strategies, performance/productivityBuild new scoring and segmentation models that predict the likelihood of a consumer to pay an outstanding balanceDevelop a dial strategy that prioritizes what phone numbers associated with an account should be dialed, and when they should be dialedCustomize treatment approaches by asset type and industry vertical: what accounts to call when and with what intensity, cure vs. payment planStatistically evaluate the effectiveness of different first party and third party data sources and data fields to identify those that are predictive and add value to the scoring, segmentation, and dials strategiesEvaluate ways to optimize overall spend with third party data vendorsDevelop and maintain machine learning infrastructure that powers our scoring and segmentation models and contact strategiesQualifications: Experience building machine learning systems from concept to product in a corporate environmentStrong experience and programming ability with R, Python, SAS, and/or other related tools. Must be able to write production quality code. Knowledge of Bayesian probability. Previous experience with, or research in, experimental designStrong SQL experience. Data will be sourced from our Data Warehouse using MS SQL Server. Must be able to handle complex joins and subqueries to quickly analyze and export datasetsAbility to clearly communicate insights and learnings to the business. Experience with presenting to groups and senior leadership is a plusMaster’s or Ph.D. in quantitative discipline or equivalent experienceRecord of delivering high quality products on timePractical self-starter; motivated to learn and improveAbility and willingness to roll up your sleeves and get things doneWork Environment: Office environment.Ability to lift and/or move 20 pounds with or without accommodation.We provide Equal Employment Opportunity for all individuals regardless of race, color, religion, gender, age, national origin, marital status, sexual orientation, status as a protected veteran, genetic information, status as a qualified individual with a disability and any other basis protected by federal, state or local laws.Job Type: Full-timeExperience:building machine learning systems: 3 years (Preferred)R, Python, SAS: 4 years (Preferred)SQL: 4 years (Preferred)Work authorization:United States (Required)",Data Scientist
"Palo Alto, CA 94306",Instart,"The Data Scientist will work closely with Product and Engineering to build functioning prototypes on real-world big data through leveraging techniques in statistical modeling, machine learning, or data mining as well as software development. With several terabytes of content and billions of web requests flowing through our system on a daily basis, the potential to leverage this massive information flow and create an impactful product is huge. The prototypes will have the potential to be incorporated into various products that address challenging business problems including web application delivery, multimedia adaptation, web performance optimization, application security, third party ad blocking and sales operation analytics.

Qualifications


Passionate about applying machine learning algorithms to derive meaning from data
Ability to take a business problem and translate that into a scalable mathematical model
Good understanding of computational complexities, and strategies for scaling and distributed computations
Proficient in one or more machine learning or statistical modeling tools such as R, Matlab, and scikit-learn.
Familiar with one or more programming languages such as Python, Java or C++.
Experience with big data techniques (such as Spark, Hadoop, MapReduce, Hive, Pig).
Knowledge of experimental design, statistical inference, multivariate statistics and visualization.
Prior experience in data science / machine learning
MS or PhD, or equivalent, in Computer Science, Statistics, Applied Math, machine Learning or other quantitative field

About Instart

At Instart, we are building a world where the largest brands in the world can deliver amazing digital experiences to their customers.

Every major brand today, whether it is online shopping, travel or media, is making huge investments to improve their online experiences to keep up with consumer expectations. As consumers in a digital world, we tend to abandon websites very quickly if the experience is not as good as we expect it to be - fast, engaging, and responsive. With 100+ patents using artificial intelligence and machine learning, Instart’s unique technology continually optimizes the online consumer experience, learning from every interaction across devices and networks.

We’re growing at a rapid pace - on the path to increase our revenue and customer base by 4x in the next couple of years! You have an opportunity to be a part of this amazing growth, working on cutting-edge AI/ML cloud technology with some of the greatest minds, to help the most recognizable brands in the world create better digital experiences.

Instart is backed by major investors who are all looking to see us become the next Unicorn and more – Andreessen Horowitz, Kleiner Perkins, Greylock, Wing, and Sutter Hill to name a few. We take pride in the great experience we offer our employees from our flexible work schedules to free lunches and our super cool, dog-friendly office in Palo Alto. Let’s talk about your next career opportunity at Instart.

Instart is an equal opportunity employer and value diversity at our company. We do not discriminate on the basis of race, religion, color, national origin, gender, sexual orientation, age, marital status, veteran status, or disability status.",Data Scientist
"Herndon, VA",Novetta,"Are you passionate about solving challenging problems?
Do you thrive being a critical part of an elite team of like-minded people?
How would you like for your next career move to take you to the next level?

If any of this sounds appealing, look no further.

Job Description:
Support a DoD program focused on predicting optimal locations for activities using multiple geospatial data sources.

Basic Qualifications:

High levels of curiosity, creativity, and problem solving capabilities
Experience with Python
Experience with R
Strong understanding of machine learning fundamentals
Ability to work both independently and collaboratively with a team
Experience working in AWS environment
Educational background in data science or equivalent mastery

Desired Skills:

Experience with deep learning
Experience with imagery processing
Experience with geospatial Python libraries

So, what does Novetta do?

We focus on three core areas: Cyber, Entity, and Multi-Int Analytics. Our products are focused on processing and analyzing vast amounts of data in these core areas. Our services are focused on helping our customers move from complexity to clarity. At Novetta, we bridge the gap between what our customers think they can do and what they aspire to achieve.

Our culture is shaped by a commitment to our Core Values:

Integrity: We hold ourselves accountable to the highest standards of integrity and ethics.
Customer Mission Success: Customer mission success drives our daily efforts—we strive always to exceed customer expectations and focus on mission success beyond contractual commitments.
Employee Focus: We value our employees and demonstrate our commitment to them by providing clear communications, outstanding benefits, career development, and opportunities to work on problems and technical challenges of national significance.
Innovation: We believe that innovation is critical to our success – that discovering new and more effective ways to achieve customer mission success is what makes us a great company.

GET A REFERRAL BONUS FOR THE GREAT PEOPLE YOU KNOW!
With our amazing referral program, you could be eligible to earn
outstanding rewards for referring qualified new hires to Novetta.

Novetta is an equal opportunity/affirmative action employer.
All qualified applicants will receive consideration for employment without regard to sex,
gender identity, sexual orientation, race, color, religion, national origin, disability,
protected veteran status, age, or any other characteristic protected by law.",Data Scientist
"Northville, MI",Reliable Software,"Reliable Software is looking for Jr. Data Scientistwith 0.6-1 yrs experience to work for our own clients in different locations in US.We are a Michigan based IT technology solutions provider with our core area of expertise in Java Full Stack, Micro Services, BI/DW & Application Programming. Our consulting practice has a national foot print with diversified client base in the fortune 500 space and we currently have 500 + consultants working for us.Job Title : Jr. Data ScientistJob Location : Northville, MIJob Type: Full TimeResponsibilities and DutiesExcellent communication; translate data analytics into business speakExperience with Machine Learning, Tableau highly preferredExperience with Data Scienceand Programming Languages like R*/Java/Python/.Net*Proven experience in managing multiple tasks simultaneously with a rigid determination to meet deadlinesComfortable to work with people from a broad range of backgrounds from highly technical to marketingRequired QualificationsMust have:* Valid work permit such as OPT/CPT* Passionate and eagerness to work with big IT clients as software consultant* Willing to relocate anywhere in USJob Type: Full-timeExperience:Machine Learning: 1 year (Preferred)Python: 1 year (Preferred)CPT Coding: 1 year (Preferred)R: 1 year (Preferred)Java: 1 year (Preferred)Education:Master's (Preferred)",Jr. Data Scientist
"San Antonio, TX",Ke'aki Technologies,"Ke'aki Technologies LLC, is a Native Hawaiian Organization (NHO) owned business. A premier government services company, Ke’aki Technologies, LLC offers a full spectrum of solutions that improve the performance and operational effectiveness of our government and Department of Defense.Ke'aki Technologies is looking for qualified Data Scientist to support an Air Force Medical Services (AFMS) contract by providing expertise in the areas of Data Science and Decision Support Analysis.DUTIES INCLUDE: Provide analytical tools and resources to assess the health of the AF beneficiary population.Provide technical expertise in the areas of prevention, managed care, medical readiness issues, health promotion, clinical safety and quality, and other health Service-related issues in order to support the AFMS’s vision of becoming the healthiest and highest performing segment of the US by 2025.Perform clinical and business analytical studies using accepted data science techniques to provide insight into areas of trending/improvement for prevention, managed care, medical readiness issues, health promotion, clinical safety and quality, and other health Service-related issues.Aggregate and analyze population health data to respond to questions from the various Congressional inquiries, DoD senior leaders, AFMOA, AF Surgeon General, Service-specific Headquarters agencies, and the MTFs.Access, validate and analyze information about the AF population by developing, validating and linking various medical, safety, environmental, occupational and personnel databases.Identify and troubleshoot data import, analysis, and display errors from multiple data sources.Provide data analysis and decision support using research expertise as well as literature review/evidence-base to develop clinical and business measures and prototypes of health information technology (IT) tools, programs, procedures, services or databases to support AFMOA’s goal of building a managed healthcare system that considers and optimizes safety, quality, cost and access.Provide technical knowledge to customers, internal and external to AFMS/AF, regarding study design and methodologies.Have the ability to understand and show sufficient proficiency to code/ recode/rewrite using Structured Query Language (SQL).Provide ad hoc data/reports or queries.Conduct research and perform analysis (including development / use of predictive models for improving clinical operations and evaluating clinical currency, efficiency, and productivity) to support a variety of clinic practices initiatives and improve clinical operations and evaluate clinical currency, efficiency and productivity, including, but not limited to, provider profiling, provider productivity/efficiency, empanelment size designation/determination, referral pattern analysis, utilization of ancillary services and related activities.REQUIRED SKILLS AND EXPERIENCE: Able to read, write, speak and understand English.Proven ability to synthesize disparate facts from multiple sources and coalesce into an accurate and useful analytic product, incorporating Service and MHS strategic goals for use by leadership in both tactical and strategic decision making.Demonstrated ability to organize/participate/lead working groups to develop analytic products and byproducts or to develop/understand processes leading to effective optimization of analytic efforts.Demonstrated ability to effectively and clearly communicate analytical discoveries and appropriate recommendations/mitigation strategies to all levels of customers including Senior AFMS leadership.Demonstrated advanced proficiency in Microsoft Office products PLUS additional software/hardware skills and capabilities including Python and Tableau.DEGREE/EDUCATION/CERTIFICATION REQUIREMENTS: Master’s degree in Public Health, Health Services Research, Epidemiology, Mathematics, Biostatistics, Statistics, Informatics or related areas, or previous participation in advanced training/program with one of those related areas and identified as a Fellow in their area of expertise is required.Other significant related clinical/medical/health data experience such as previous participation in an analytics/quantitative field fellowship/training may be considered as an appropriate substitute for education, but minimum of Bachelor’s degree in above areas required unless otherwise specified and with few exceptions.CITIZENSHIP/SECURITY CLEARANCE REQUIREMENTS: Must be a U.S. CitizenThe Alaka'ina Foundation Family of Companies (FOCs) is comprised of industry-recognized government service firms who are designated as Native Hawaiian Organization (NHO)-Owned and fall into the respective categories of standard Small Business, 8(a) certified Small Disadvantaged Business (SDB), and HUBZone. The FOCs includes Ke'aki Technologies, Laulima Government Solutions, Kūpono Government Services, Kāpili Services, and Po'okela Solutions. Alaka'ina Foundation activities under the 501(c)3 principally benefit the youth of Hawaii through charitable efforts which includes providing innovative educational programs that combine leadership, science & technology, and environmental stewardship.Indeed Hire and Ke’Aki Technologies are working together to find the best candidate for this job. By applying, you agree to be contacted by our agent, Indeed Hire, and receive updates via text and phone about your application.Job Type: Full-timeExperience:expertise in prevention, managed care, clinical safety: 4 years (Required)clinical/ medical/ health data: 5 years (Required)Education:Master's (Required)Work authorization:United States (Required)Job distance:San Antonio, TX: Between 11 and 20 miles (Preferred)",Data Scientist
"Los Angeles, CA 90025",Conversion Logic,"Our team is changing the way marketing decision makers understand their cross channel portfolio and with our advanced attribution platform (XC Logic) delivering actionable insights in real-time across all devices. By using our proprietary Ensemble Method and state-of-the-art machine learning, which enables us to break free of the one size fits all algorithm and create a truly unique dynamic predictive solution for our customers, marketers can identify clear understandable ways to achieve efficiency gains of 30-50%. And as an independent lean startup, Conversion Logic is untethered from any media entity influence.

Changing an industry is never a small task and requires team of exceptional people. Our Data Science team is seeking a Data Scientist to help them drive R&D in advanced attribution modeling and analytical support to client service and engineering teams in client delivery and product development.

HOW YOU WILL HAVE AN IMPACT...


Research, develop, operate, and extend advanced marketing attribution models with Machine Learning algorithms to be deployed in production
Collaborate closely with client services and engineering to deliver insights to clients on time
Define and implement features to our marketing analytics products in Python

WHAT YOU WILL NEED...


Degree in Computer Science, Statistics, Mathematics, Physics, or Engineering
Experience in predictive modeling with Machine Learning algorithms
Understanding of probability, statistics, and linear algebra
Solid coding skills in Python
Excellent teamwork and communication ability
Being passionate in Data Science, disciplined at work, and confident while being humble

So if you like solving data, product or engineering puzzles. Are excited by great data visualization. If happy clients make your day. And want to work in a lean startup with brilliant people. Then Conversion Logic is your next company. Our culture is defined by smart people who like to solve difficult problems. We have an entrepreneurial swager, a warm work environment, and a close-knit team that loves to solve hard problems.

Conversion Logic is an EOE M/F/D/V",Data Scientist
"Austin, TX",Data Quantist,"Job requirements/ skills:﻿
Strong analytical skills and expertise with analytical and database tools such as R, SAS, MS SQL, MySQL, PostgreSQL, etc.﻿ 3+ years of relevant experience is a must.
Masters level education in quantitative fields (Math, Statistics, Operations Research). Algorithm design experience is desired, but is not a requirement. However, must be versatile in implementing algorithms in two of the following: R, SAS, Phython or MATLAB.
Strong Communication skills
Extensive experience with analyzing online and click stream data
Hadoop, MapReduce, Hive and Hbase, AWS is a plus
Tableau, Microstrategy or any other leading visualization tools",Data Scientist
"San Francisco Bay Area, CA",SSIT,"Contractwill lead technical discussion, and implementation of projects related to growth areas. You'll help us evaluate new and emerging technologies and determine applicability to current and future projects., Architect and design new software product features, help drive projects to completion, define system technical use cases and architecture specification in alignment with business/product requirements.SkillsStrong background in Data Science, Machine Learning, Deep Learning system architecture, design, implementation and deployment. You have deep knowledge of software development background, on open source cloud technologies and application platforms and are a strategic thinker (system level) that can look at the big picture, abstract workflows and provide technical assistance in technology to be used at the strategic level. If so, we're looking for you!Our Minimum Requirements are:* Ph.D. or Master’s degree in computer science or equivalent* 7+ years of experience in building large scale, high performance, ML/DL based systems and Strong Computer Science fundamentals (algorithms, data structures)* Experience with Big Data technologies (Hadoop and other frameworks in Hadoop ecosystem, Elasticsearch, etc.)* Working experience with building ML models, Neural Networks, or any Deep Learning techniques* Extensive experience solving analytical problems using quantitative approaches, operations research and optimization algorithms* Comfort manipulating and analyzing complex, high-volume, high dimensionality data from varying sources* Fluency and facility with one or more of the following programming languages: Java, Scala, Python.* Knowledge of tools such as SPARK, TensorFlow, Microservices, Kafka, HDFS, HBase* Excellent written and oral communication skills, able to communicate with all levels of internal technology teams and business teamsDesired Skills:* Passion for answering hard questions with dataJob Types: Full-time, ContractExperience:Hadoop: 1 year (Preferred)Scala: 1 year (Preferred)TensorFlow: 1 year (Preferred)Java: 1 year (Preferred)Education:Doctorate (Preferred)",Senior Data Scientist
"New York, NY 10167",AECOM,"AECOM is actively seeking a highly motivated Entry Level Data Scientist for employment in the New York, NY office. AECOM is pleased to include you in a unique development opportunity, the Graduate Development Program (GDP). This program is designed to support your assimilation into the organization and assist with creating a foundation of knowledge for a successful career at AECOM. You will gain experience in your discipline through learning on the job and participate in development opportunities during the program, including access to AECOM's social media resources, group mentoring, and professional networking. The program also has learning activities that will be available to you, including webinars and on-line programs.

Imagine working on rewarding projects within a diverse culture, and having access to exceptional training and career development opportunities. Working at AECOM means being part of a global team, working with award-winning professionals across the world. Aspire to be a key player on some of the best projects regionally, with opportunities to work on projects nationally or internationally. Our people bring deep industry knowledge to help you succeed.

The responsibilities of this position include, but are not limited to:


Under direct supervision, may complete scientific assignments of limited complexity.

Minimum Requirements

BA/BS + None or demonstrated equivalency of experience and/or education

Preferred Qualifications

N/A

What We Offer

When you join AECOM, you become part of a company that is

pioneering the future . Our teams around the world are involved in some of the most cutting-edge and innovative projects and programs of our time, addressing the big challenges of today and shaping the built environment for generations to come. We ensure a workplace that encourages growth, flexibility and creativity, as well as a company culture that champions

inclusion, diversity and overall

employee well-being through programs supported by company leadership. Our

core values define who we are, how we act and what we aspire to, which comes down to not only

delivering a better world , but working to “make amazing happen” in each neighborhood, community and city we touch. As an Equal Opportunity Employer, we believe in each person’s potential, and we’ll help you reach yours.",Entry Level Data Scientist
"Northville, MI",Reliable Software,"Reliable Software is looking for Jr. Data Scientistwith 0.6-1 yrs experience to work for our own clients in different locations in US.We are a Michigan based IT technology solutions provider with our core area of expertise in Java Full Stack, Micro Services, BI/DW & Application Programming. Our consulting practice has a national foot print with diversified client base in the fortune 500 space and we currently have 500 + consultants working for us.Job Title : Jr. Data ScientistJob Location : Northville, MIJob Type: Full TimeResponsibilities and DutiesExcellent communication; translate data analytics into business speakExperience with Machine Learning, Tableau highly preferredExperience with Data Scienceand Programming Languages like R*/Java/Python/.Net*Proven experience in managing multiple tasks simultaneously with a rigid determination to meet deadlinesComfortable to work with people from a broad range of backgrounds from highly technical to marketingRequired QualificationsMust have:* Valid work permit such as OPT/CPT* Passionate and eagerness to work with big IT clients as software consultant* Willing to relocate anywhere in USJob Type: Full-timeExperience:Machine Learning: 1 year (Preferred)Python: 1 year (Preferred)CPT Coding: 1 year (Preferred)R: 1 year (Preferred)Java: 1 year (Preferred)Education:Master's (Preferred)",Jr. Data Scientist
"San Jose, CA",SSIT Inc,"$120,000 - $130,000 a yearContractStrong background in Data Science, Machine Learning, Deep Learning system architecture, design, implementation and deployment. You have deep knowledge of software development background, on open source cloud technologies and application platforms and are a strategic thinker (system level) that can look at the big picture, abstract workflows and provide technical assistance in technology to be used at the strategic level. If so, we're looking for you!Our Minimum Requirements are:* Ph.D. or Master’s degree in computer science or equivalent* 7+ years of experience in building large scale, high performance, ML/DL based systems and Strong Computer Science fundamentals (algorithms, data structures)* Experience with Big Data technologies (Hadoop and other frameworks in Hadoop ecosystem, Elasticsearch, etc.)* Working experience with building ML models, Neural Networks, or any Deep Learning techniques* Extensive experience solving analytical problems using quantitative approaches, operations research and optimization algorithms* Comfort manipulating and analyzing complex, high-volume, high dimensionality data from varying sources* Fluency and facility with one or more of the following programming languages: Java, Scala, Python.* Knowledge of tools such as SPARK, TensorFlow, Microservices, Kafka, HDFS, HBase* Excellent written and oral communication skills, able to communicate with all levels of internal technology teams and business teamsDesired Skills:* Passion for answering hard questions with dataJob Types: Full-time, ContractSalary: $120,000.00 to $130,000.00 /yearExperience:Hadoop: 1 year (Preferred)Scala: 1 year (Preferred)Data scientist: 5 years (Preferred)Java: 1 year (Preferred)Education:Doctorate (Preferred)Contract Length:More than 1 yearFull Time Opportunity:Yes",Data Scientist
"San Francisco, CA",Factspan Analytics,Job SummaryComputer Vision / Recommendation Engineer Specialized InJob Type: Full-timeExperience:Data Science: 1 year (Preferred),Data Scientist - Recommendation Enginer
"Irvine, CA 92697",University of California - Irvine,"$4,969 - $6,756 a monthContractUnder the general supervision of Professors Dana Mukamel and Kai Zheng, the incumbent will join the CalMHSA Mental Health Tech Suite Innovation (INN) Evaluation Team. This large, statewide multi-year study will evaluate the effectiveness of two new and innovative applications offered to people with mental health conditions, which include opportunities for online chatting between users and online listeners Responsibilities of the incumbent will include managing and analyzing text data created by users of the two mental health applications as part of the research and evaluation objectives of the team. The incumbent will collaborate with faculty and other team researchers, and will be expected to create under supervision and direction variables describing the usage of the apps, the interactions between users, and the effectiveness of the apps. The incumbent will also be expected to interact with the vendors of the apps around data issues.

The University of California, Irvine is an Equal Opportunity/Affirmative Action Employer advancing inclusive excellence. All qualified applicants will receive consideration for employment without regard to race, color, religion, sex, sexual orientation, gender identity, national origin, disability, age, protected veteran status, or other protected categories covered by the UC nondiscrimination policy.

Salary: Monthly $4,968.58 - $6,755.83
Total Hours: 8-5, M-F
Contract Position.
Final candidate subject to background check.
As a federal contractor, UC Irvine is required to use E-Verify to confirm the work status of individuals assigned to perform substantial work under certain federal contracts/subcontracts.

Please attach your resume.",Data Scientist
United States,Ganit,"Location: USA – multiple locations
2+ years of Analytics experience
Understand business requirements and technical requirements
Can handle data extraction, preparation and transformation
Create and implement data models",Data Scientist
"Sunnyvale, CA 94089",Proofpoint,"Company Overview
At Proofpoint, we have a passion for protecting people, data, and brands from today’s advanced threats and compliance risks. We hire the best people in the business to:
Build and enhance our proven security platform
Blend innovation and speed in a constantly evolving cloud architecture
Analyze new threats and offer deep insight through data-driven intel
Collaborate with customers to help solve their toughest security challenges
We are singularly devoted to helping our customers protect what matters most. That’s why we’re a leader in next-generation cybersecurity—and why more than half of the Fortune 100 trust us as a security partner.

The Role
Would you like to apply cutting edge data science techniques to help protect the world against cyber threats? At Proofpoint, we work with unique data sets and craft peta byte scale solutions to help protect some of the most targeted people especially in fortune 500 companies. One of the things that makes our problem space so challenging is that dynamic nature of the threat landscape. We need to outsmart the threat actors and be two steps ahead of the game. This is where static rule based systems can’t keep up with the sheer number of threat features we deal with and we need smarter machine learning solutions to help tackle the problem. As a member of our team, you will be part of the design and development of new game changing solutions that would have a real impact on the next generation security solutions at Proofpoint.
What You Bring to the Team
Good understanding of machine learning algorithms, tools and platforms
Experience in at least one of these Toolkits: numpy, scipy, scikit-learn, tensorflow, pytorch, keras, genism, vowpal wabbit, etc.
Understanding of programming fundamentals
Python proficiency
Self-starter and intellectual curiosity
Great communication skills, ability to explain predictive analytics to non-technical audience
Proficiency in data exploration techniques and tools
Why Proofpoint
As a customer focused and driven-to-win organization with leading edge products, there are many exciting reasons to join the Proofpoint team. We believe in hiring the best the brightest and cultivating a culture of collaboration and appreciation. As we continue to grow and expand globally, we understand that hiring the right people and treating them well is key to our success! We are a multi-national company with locations in 10 countries, with each location contributing to Proofpoint’s amazing culture!
#LI-DNP",Data Scientist - New College Grad
"Dallas, TX",Vivifitech,"$65 - $70 an hourContractRequirements: Data Science, Machine Learning, Python, R, SCALATerm: 1 yearLocation: Dallas, TexasJob Type: ContractSalary: $65.00 to $70.00 /hourContract Renewal:Possible",Data Scientist
"McLean, VA",MRP,"$100,000 - $170,000 a yearAn award winning Media Juggernaut that gets millions of views a day is seeking a Data Scientistfor their Mclean office. This person will join the data analytics team which utilizes predictive modeling concepts and machine-learning approaches, including clustering and classification techniques, and recommendation engines and optimization The analytics team will take the lead integrating processed data and analytic products with systems developed by customers and partners. The ideal candidate will be strong with: python data science toolsuite, big data(Spark ideally), NoSQL on the back-end, has done data mining and worked with large data sets.Required Skills & Experience2+ years of professional experience with data analytics or equivalent professional experience as a software developer for quantitative applications engineerBachelors. or higher in electrical and computer engineering, statistics, mathematics, physics or another quantitative field with relevant work in statistical modeling, machine learning or data analytics contributing to that degree. Particularly strong work experience may be deemed equivalent for candidates with alternative or lesser degreesExcellent understanding of machine learning techniques and algorithms, such as k-NN, Naive Bayes, SVM, Decision Forests, etc.Software development experience with one of these: Python, C/C++ and JavaExperience Machine Learning and advanced data modelingExperience blending analytic and simulation modeling approaches to problem solvingExperience with data visualization tools, such as D3.js, GGplot, etc.Proficiency in using query languages such as SQL, Hive andPigExperience with NoSQL databasesBonus & Desired Skills: Outside the box thinkerinnovative problem solverDeep Learning experienceComing from a Geospatial or Satellite based organizationThe Offer: Profit sharingMedical/Dental/life insurance401k retirement plan with employer matchFlex HoursJob Type: Full-timeSalary: $100,000.00 to $170,000.00 /year",Junior/Senior Data Scientist
"Spring, TX 77382",Complete Intelligence,"$50,000 - $75,000 a yearComplete Intelligence Technologies, Inc. has developed an industry-leading machine learning platform for predictive analytics. This platform, called the Global Cognitive System (GCS), covers over 1,400 industry sectors along with dozens of economic indicators and hundreds of currencies, commodities and equity market indices spanning more than 100 countries for extensive global reach and complete market coverage. At the heart of the platform is a database of over 15.5 billion datapoints. Ensuring that this database is robust drives the accuracy and reliability of our predictive analytics.Complete Intelligence is looking to hire a highly creative Data Scientist to address data analytics challenges in our organization, to collect large volumes of data from varying sources, clean and interpret data, create solutions to overcome challenges and work with management and staff to implement solutions.To succeed in this position; a candidate should be curious, creative and tech savvy. Also, the candidate should stay up to date with data programming software and applications, have a solid understanding of statistics and mathematics and be proficient in writing algorithms. Top candidates will be persistent and have excellent analytical and problem-solving skills.Responsibilities and Duties: Key responsibilities of the Data Scientist include:Identifying, collecting, processing and validating data for incorporation into the GCS;Reviewing data sources on an ongoing basis to optimize sourcing and data content;Formulating data quality techniques to ensure adequacy, accuracy and legitimacy of data;Importing data into relevant analytic models for processing;Automating data retrieval, validation and integration to the greatest extent possible;Ensuring smooth flow of data both internally and externally;Developing data standards for the company;Researching solutions and new methodologies to overcome data analytics challenges;Responding to customer needs by incorporating new data series and assets;Working with incoming and outgoing client data in an analysis-specific context;Developing specific APIs as required to meet client data transfer needs;Communicating and meeting with sales, marketing and other internal teams;Sharing complex ideas verbally and visually in an understandable manner with non-technical stakeholders; and,Interfacing with the executive team, board of directors, advisors and staff.Qualifications and Skills: A candidate for this position should possess the following qualifications and skills.Proven experience with big data, or relevant expertise applicable to the position.Excellent understanding of data administration and management functions (collection, analysis, validation, distribution etc.).Familiarity with modern database and information system technologies, as well as data visualization tools (SQL in particular).Thorough understanding of statistics with coursework or relevant experience in machine learning and programming.Experience with data querying languages, application programming interfaces (APIs) and statistical or mathematical software.Proficient in data-centric programming languages (i.e. Python).Experience in cross-platform operating environments (Linux, Windows, etc.).Analytical mindset with problem-solving skills.Strong communication skills (both written and verbal).Self-starter with the ability to work independently as well as in a team setting.This description is not intended to be all inclusive, and the employee will also perform other reasonably related job duties as assigned.Education: BSc/BA in Computer Science, Engineering or relevant field required, with postgraduate degree a plus.Experience: Experience in a related job scope or discipline working with large- and small-sized data sets.Direct experience managing complex data-centric projects, supervising a team of programmers and/or analysts and interfacing with project stakeholders.Compensation and Benefits: Salary commensurate with experience and qualifications.Participation in company sponsored health insurance plan.Advancement Potential: Complete Intelligence is a rapidly growing company with an established product and expanding customer base. For the right candidate who can quickly and efficiently enhance our existing processes there is the opportunity for advancement and equity incentives.Job Type: Full-timeSalary: $50,000.00 to $75,000.00 /yearExperience:Machine Learning: 2 years (Preferred)Analysis Skills: 2 years (Preferred)Complete Data Manipuation with Large Data Sets: 2 years (Preferred)Education:Bachelor's (Preferred)Additional Compensation:Other forms",Data Scientist
