company_location,company_name,description,title
"Charlotte, NC 28255",Bank of America,"Job Description:
Position Summary
 Risk Management and Mitigation Planning;
 Readiness/Change Adoption/Stakeholder Management;
 Quality Assurance, ensure that all applicable change requirements are satisfied;
 Acts as the primary point of contact and integration for the project.
Required Skills
 2+ years experience
 Agile project management
 Leadership
 Understanding of hybrid Waterfall/Agile
 Data Management
 Experience with geographically dispersed teams
 Excellent written and verbal communication skills
 Risk Management
 Financial forecasting/budgeting
 Excellent follow-through
Desired Skills
  Bank of America experience
 Ability to organize materials for management and executive use and presentation
 Microsoft Office application suite - Excel, Word, Power Point, Visio, Project
Shift:
1st shift (United States of America)
Hours Per Week:
40",Data Analyst
"Chicago, IL 60610",Drivin,"Love cars, technology and data? So do we. KAR Auction Services (NYSE: KAR) is a global Fortune 700 company headquartered in the Indianapolis suburb of Carmel, Indiana, with 18,000 employees across the United States, Canada, Mexico and the United Kingdom. Our diverse team helps the world's largest automotive manufacturers, financial institutions, insurance companies and dealer groups buy, sell and trade used vehicles. DRIVIN is our Chicago-based innovation and Data Science hub—where our team of data scientists and analysts create new products and help power the sale of more than 5.95 million units valued at over $40 billion through our physical, online, and digital/mobile auction marketplaces.We move quickly, and we're looking for go-getters that are addicted to the thrill of creating new products and features and diving deep into rich data. Sound like you? We’re looking for a Data Analyst to roll up their sleeves and help transform one of the largest, most dynamic industries in the world.Job Description SummaryAt our core, we are an analytics company. The insights we gain from our analyses guide our strategic path forward as we grow revenue, enter new markets, and strengthen our customer relationships. The Analytics team proactively leads and collaborates to identify the most valuable problems to solve, constructs a Roadmap to delivery, and executes our plan. The team is looking for a Data Analyst with adept technical skills, high analytical prowess and exceptional delivery of output. The Data Analyst role will champion current and future data solutions, all while delivering and automating the best insights possible to both internal stakeholders and customers alike.ResponsibilitiesDesign SQL scripts to directly query and analyze internal and external data sources to package together clear, actionable findingsProvide timely, valuable solutions for ad hoc analyses via SQL with a focus to detail on crafting scripts that can be easily manipulated to efficiently address similar future analysesOwn the design of advanced analytics dashboards and KPI reports in our BI tool starting from requirements gathering across sales, product and senior leadership teams to the delivery of a final, polished reports in productionGrow to serve as the team’s subject matter expert for advanced analytics and report design, offering insights and suggestions on what potential problems the team should be solvingWork closely with Product and Operations teams and support their analysis and data needsBe a data evangelist, working across the company to understand how our data outputs affect different groups and identify areas where our team can provide additional valueWork closely with the Data Science team to deliver actionable insights to the organization.QualificationsBachelor’s degree from an accredited institution.3 to 5 years of experience in an analytical role with a heavy focus on querying data, analyzing and clearly presenting analyses to stakeholders across the organization.High SQL aptitude, experience working within Python a plus.Experience with Google Analytics, Google Tag Manager a plus.Experience designing reports and dashboards Tableau, or equivalent BI product.Ability to clearly explain findings from complex analyses in case studies and presentations.Previous experience on a data team in an agile environment preferred.A flexible, collaborative teammate with the ability to deliver both high level explanations of complex problems while also able to deep dive into complex problemsConfidence, hustle, energy, and drive – accountability is key and the impact of your work is crucial to our successJob Type: Full-timeExperience:Python: 2 years (Required)analytical role: 3 years (Required)Google Analytics: 2 years (Preferred)SQL: 2 years (Required)Location:Chicago, IL (Required)Work authorization:United States (Required)",Data Analyst
"Kent, WA",Blue Origin,"Description:
As part of a small, passionate and accomplished team of experts, you will work the full spectrum of Master Data Management from establishing policy, procedures and standards, to implementation of tools for executiion and documentation. You will work directly with Data Owners and Data Stewards to define Master Data entities and attributes, and construct processes for ensuring data validity and consistency across authoritative systems and other data consuming and data producing systems. Ensuring the business has the most accurate and reliable core information will play a key role in the progressing our technology and shaping future of human spaceflight.
Responsibilities:
Facilitating and driving strategic decisions regarding Master Data policy, procedures, and standards
Executing Master Data related projects and initiatives
Performing audits and data validation against Master Data definitions
Ensuring and enforcing compliance with Master Data policies and procedures
Maintaining Metadata stores for Master Data Attributes, Definitions and Usages
Qualifications:
Minimum of 5 years' experience in Master Data Management activities
Proficiency in interrogating SQL and NoSQL Databases
Demonstrated effectiveness in leading/directing small project teams
Strong ability to self-manage and drive toward high quality results
Experience in complex and fast pace environments
Strong analytic skill set and a high degree of proficiency in data profiling
Excellent written communication and presentation skills
Must be a U.S. citizen or national, U.S. permanent resident (current Green Card holder), or lawfully admitted into the U.S. as a refugee or granted asylum.
Desired:
Experience implementing Master Data Management Tools
Experience in Manufacturing (specifically Aerorspace) Processes
Experience in Integrated Supply Chain, Supplier Management and Product Management
Blue Origin offers a phenomenal work environment and awesome culture with competitive compensation, benefits, 401K, and relocation.


Blue Origin is an equal opportunity employer . In addition to EEO being the law, it is a policy that is fully consistent with Blue's principles. All qualified applicants will receive consideration for employment without regard to status as a protected veteran or a qualified individual with a disability, or other protected status such as race, religion, color, national origin, sex, sexual orientation, gender identity, genetic information, pregnancy or age. Blue Origin prohibits any form of workplace harassment.",Master Data Analyst
United States,Bryant & Stratton College,"Be a part of a team that drives institutional effectiveness!
Bryant & Stratton College is seeking an advanced level Data Analyst to join our Institutional Research, Planning, and Assessment team.

The successful candidate will:

Use statistical package techniques that drive operational and strategic decisions
Analyze and identify patterns that will help develop marketing solutions and predict trends that impact student success
Create, maintain, and deliver custom reports and ad-hoc queries that utilize a variety of reporting tools to include Oracle CRM, Qlik, Business Intelligence and others
Ensure data integrity by inspecting all Admissions CRM for accuracy and parody with external reporting
Provide proper analysis that will support the accountability of outside marketing vendors
Support the development of databases, data modeling/mining, and segmentation techniques
Participate and contribute to discussion that leads to data-driven recommendations


Please note that this is a local, onsite position and no relocation is being provided.


Bryant & Stratton College is an Equal Opportunity Employer",2019 - Advanced Data Analyst
"Washington, DC 20004",FSA,"Focused on delivering unsurpassed services in support of law enforcement and homeland security, FSA, a rapidly growing joint venture owned by trusted solutions providers SAIC and AECOM, has a vacancy for a Data Analyst supporting Health Care Fraud Unit of the FBI.

Join the Health Care Fraud Unit and be part of a dynamic team that not only supports the FBI headquarters, but also provides opportunities for the team to participate in ""Temporary Duty Assignments (TDY) supporting the FBI Field Offices. This unique opportunity allows employees to interact with colleagues in various locations, while also providing an opportunity to develop new skills as you grow your career with one of the most prestigious organizations in the law enforcement community.

The day to day environment consists of meaningful work at a steady pace while ensuring quality work products are produced without the added pressures of hard deadlines. Employees are encouraged to participate in teambuilding/bonding activities to include office celebrations, birthdays, anniversaries, milestones, awards and yes, even an occasional happy hour.

Additional office related benefits include:

Flexible work schedules;
Overtime;
Short-term TDY Travel; and
Variety of special projects

A Data Analyst executes the following duties:

Provide organization and management of case files
Review data (completeness of information, proper execution)
Extract data from data base
Obtain additional information from other investigative agencies/data base
Establish/maintain physical file
Prepare notices/advertisements
Receive, suspense petitions, claims, process sharing requests
Reconcile inconsistencies
Prepare declarations
Gather information and organize investigative package
Verify case files and case tracking system
Maintain internal status information on the disposition of all forfeited assets
Assure information is accurate and perform analytical computations necessary to process data
Conduct and reconcile inventories
Distribute and receive documents
Assist lead analyst or official in obtaining/collecting all documents/information to complete case file
Provide administrative information and assistance concerning case to other investigative agencies, local law enforcement agencies, US Attorney, and other DOJ processing units, and higher headquarters
Extract data from agency data base for management and program reports
Perform word processing relevant to case documentation
Perform data entry relevant to case

A Data Analyst must meet the following qualifications:

High School diploma, bachelor's Degree preferred
Ability to review and analyze data and information from multiple sources
Ability to establish case/project files
Ability to enter and retrieve data from data bases
Ability to prepare and format management reports
Ability to manipulate, transfer, and compute and print information
Ability to create and manipulate spreadsheets
Ability to prepare and correct reports and correspondence using word processing software
Ability to obtain and maintain a Top Secret Security Access

This position requires U.S. Citizenship and a 7 (or 10) year minimum background investigation.

Forfeiture Support Associates (FSA), LLC is proud to be an Affirmative Action/Equal Opportunity Employer. We recruit, employ, train, compensate, and promote qualiﬁed persons in all job titles without regard to age, ancestry, color, gender, HIV status, marital status, medical condition, national origin, physical or mental disability, race, religion, sex, sexual orientation (including gender expression and identity), veteran status, family leave status or any protected group status as deﬁned by applicable law.",Data Analyst Supporting the FBI
"San Francisco, CA 94107",Granular,"InternshipMore than 7 billion people depend on farms for healthy and affordable food. By 2050, the global population will reach 9.4 billion and farmers will need new ways to deliver on this demand. They'll be seeking options that are economically viable and that will help them remain environmentally sustainable. Granular's software meets this need, making farmers more efficient.

We're growing quickly and looking for a Summer Intern to build out a database on our high-achieving and fast-moving employees. In this role, you'll be responsible for supporting the entire People Operations (POPs) team, by researching and creating resources around workforce data and information.

Your main responsibility will be to organize existing company data and produce recommendations that will have a measurable impact on Granular. You'll receive a list of potential projects from the POPs team to evaluate. With this project list, it'll be your responsibility to better understand each problem by discussing with the relevant stakeholders. After assessing the needs of the stakeholders, you'll be responsible for the full cycle of development from initial data exploration to (if applicable) putting a model into production. (During the cycle, you'll receiving coaching from POPs managers and some support from our awesome Data Science team.)

Additionally, you may identify, research, and develop solutions for employee knowledge and skills gaps. You'll work with the Learning & Development manager, while collaborating with other managers, to gather data, design visualizations and present recommendations. For this work, you'll need to be an energetic, positive, creative, and performance-driven self-starter who can work independently.

What You'll Get To Do:

Support our POPs team by collecting, researching, and analyzing current data on employee engagement, choices, performance, and skills
Partner with internal stakeholders to understand business use cases, design and develop solutions, and present findings
Design solutions to improve data infrastructure and business intelligence to support decision making
Operationalize data processes: provide the team with ad-hoc analysis, dashboards, and reports so that everyone gets a good sense of the state of the workforce
Work out of our Champaign, IL, San Francisco, CA, or Des Moines, IA office

Our Ideal Candidate:

Current enrollment in a Bachelor, Masters or PhD program (anticipated graduation in 2020) pursuing Statistics, Mathematics, Computer Science, Engineering or analytical field
Strong analytical skills and experience with analytics tools (Excel, GoogleSheets, SQL, R, Python, Tableau, and other statistical or data analysis packages)
Exceptional communication and presentation skills
Team player mindset that takes ownership for a collective outcome and helps others along the way
Available to work 40 hours per week
Goal-oriented and self-motivated, with strong interpersonal skills
Comfortable in a fast-paced environment

Who We Are:
Granular combines the leadership and innovation of experienced entrepreneurs, advisors, and investors with the meaningful insights of farmers, agronomists, data scientists and engineers.

Our internal team has the rebellious, innovative business and technical acumen that defines Silicon Valley; this expertise has produced products including Granular Business ( https://granular.ag/farm-management-software/ ), Granular Agronomy ( https://granular.ag/agronomy/ ), AcreValue ( https://granular.ag/acrevalue/ ), and AgStudio.

Founded in February 2014, and backed by leading VC's like Andreessen Horowitz and Google Ventures, Granular is an independent subsidiary of Corteva, a spin off of DowDuPont™. We currently have offices in San Francisco, CA, Champaign, IL, Des Moines, IA and Cumming, GA. Learn more about our company and people here! ( https://drive.google.com/file/d/1BTtVwj9VOg3M1_y8AUDuVl3wifk5AhKB/view )",Data Analyst Intern
"Valdosta, GA","AllSTEM Connections, Inc","$15 - $20 an hourContractResponsibilities: Data Analysis Technicians at are responsible for collecting, analyzing, and implementing dealership data from various database systems.Data Analysis Technicians provide solutions based on their observations, as well as customer specifications on how data is to be reflected within automotive software.Data technicians will be responsible for multiple projects at one time.Qualifications: Excellent communication, organizational and time management skillsAttention to detail in analyzing and structuring various data and reportsAnalytical problem solving skillsAbility to multi-taskStrong ability to prioritize tasks and deadlines within a fast paced environmentProficiency with all Microsoft Office Suite applications including AccessKnowledge of XML, XPath and Microsoft SQL a plusSkilled in data analysisMicrosoft SQL and Access PreferredAdvanced Excel skills (spreadsheets, pivot tables, graphing, etc.)Excellent communication skills; will interact with all levels of the organizationJob Types: Full-time, ContractSalary: $15.00 to $20.00 /hour",Data Analyst
"New York, NY",NoFraud,"$18 - $25 an hourAre you an NYC local seeking an opportunity at a fast-paced, growing company? Do you enjoy problem-solving and seek a challenging more stimulating position? If you are eager to learn about business, eCommerce, and payments and immerse yourself in the startup experience, this is the position for you!We are looking for individuals who are resourceful, bright, logical, curious, proactive, works well independently and as part of a team, and who will be passionate about what she or he does. We are looking for a highly motivated, enthusiastic individual with the ability to learn quickly and independently and to deliver results. This person would need to have a strong ability to communicate with customers and others.Responsibilities:Research and analyze transactions to determine authenticity.Interact with cardholders to determine transaction authenticityInteract with customers and respond to inquiriesProvide research material to financial institutions to dispute chargebacksQualifications:Excellent research skillsExcellent oral and written communication skillsDemonstrated ability to work independently and responsiblyBachelor’s Degree, in quantitative field (e.g., Engineering, Math, Finance) preferred but not requiredPlease make sure to reply with a cover letter and resume to be considered.Thank you..Job Type: Full-timeSalary: $18.00 to $25.00 /hourEducation:Bachelor's (Preferred)Work authorization:United States (Required)Benefits offered:Paid time offFlexible schedulesWorkplace perks such as food/coffee and flexible work schedules",Entry Level Data Analyst/Fraud Investigator
"McLean, VA","IQlogg, Inc","ContractJob DescriptionJob duties:Data analysts must be detail-oriented, mathematically inclined, and have the ability to work independently.Strong writing skills are also a plus, since data analysts often have to prepare written summaries, company memos, or press releases.Responsible for assisting with the conceptual design of complex quantitative analyses, management and manipulation of large data sets, development of data analytics solutions, and the presentation and delivery of novel solutions.The position requires the ability to work with databases, clean and reconcile data, prepare data sets for detailed statistical analysis, and assist in the design and development of statistical and mathematical analyses.Data analysts work with large amounts of data: facts, figures, and number crunching.You will need to see through the data and analyze it to find conclusions. Data analysts are often called to present their findings, or translate the data into an understandable document.You will need to write and speak clearly, easily communicating complex ideas. Data analysts must look at the numbers, trends, and data and come to new conclusions based on the findings is precise.Data analysts have to make sure they are vigilant in their analysis to come to correct conclusions.Minimum RequirementsBachelors/Masters in (Healthcare related courses, Computer Science, Business Administration, Finance, Electrical Engineering, Mechanical Engineering, etc)Facilitation, communication, writing and presentation skills are key requirements.Must have excellent documentation skills.Excellent with MS Office products requiredWe provide training for the position too.IQLogg is an Equal Opportunity Employer.Job Types: Full-time, Contract",Entry Level Data Analyst
"San Francisco, CA",POWr,"$67,000 - $80,000 a yearPOWr is in search of a Data Analyst to join our team of super talented, enthusiastic and mildly quirky POWr Rangers. At POWr, we embrace a fast-moving, high energy, and ever-improving environment. We're looking for a Data Analyst who thrives in a fast-paced culture, and enjoys working with a small but mighty team of some of the most talented minds in Silicon Valley.
As a Data Analyst, you'll work closely with our leadership team, highlighting critical data to help us better understand and support our users. You'll identify opportunities for strategic optimization through product analysis, and make informed proposals to lead team leaders and executives toward data-driven decisions.
Our Data Analyst is able to pull relevant data across a variety of databases and systems to achieve a high level analysis. Your ability to deliver actionable and insightful reporting and analysis across departments will guide our ship toward a stronger product and happy customers.
Responsibilities
Evaluate user needs, collect customer feedback, define technical problems, and work with engineering and product team to determine solutions.
Assist product managers in doing product research and analyzing large user data sets.
Leverage data and analytics across the company, finding opportunities for improvement and growth
Work closely with department leads to identify strategic opportunities and develop best practices
Establish governing processes for collection and application of metrics
Be the driver of analytical rigor, leading the team toward data-informed decisions
Navigate through small and large data sets, communicating problems and solutions to necessary team members.
Experience and Skills
Spreadsheets, Google Analytics and data guru
Comfortable with SQL, databases and/or business intelligence tools
Experience with or willingness to learn Ruby on Rails
Experience with startups or small, fast-moving companies
Ability to effectively communicate complex concepts multiple audiences
Due to the our hiring process, applicants must be Bay Area residents - no remote applicants at this time
POWr Perks:
Starting annual salary of $67,000-$80,000
Free daily lunch + all the snacks you could ever imagine
401k + free financial advising
Competitive medical and dental plans
Free weekly code school. We'll teach you the ins and outs of front end coding if you're interested in joining our free weekly class.
Flexible work from home policy
Unlimited PTO. We believe in working hard and playing hard.
Annual overnight retreat to our favorite animal sanctuary hostel
Access to our rooftop office in the heart of the Financial district, equipped with a classic startup-y game room and large outdoor patio",Data Analyst
"San Francisco, CA 94107",Granular,"InternshipMore than 7 billion people depend on farms for healthy and affordable food. By 2050, the global population will reach 9.4 billion and farmers will need new ways to deliver on this demand. They'll be seeking options that are economically viable and that will help them remain environmentally sustainable. Granular's software meets this need, making farmers more efficient.

We're growing quickly and looking for a Summer Intern to build out a database on our high-achieving and fast-moving employees. In this role, you'll be responsible for supporting the entire People Operations (POPs) team, by researching and creating resources around workforce data and information.

Your main responsibility will be to organize existing company data and produce recommendations that will have a measurable impact on Granular. You'll receive a list of potential projects from the POPs team to evaluate. With this project list, it'll be your responsibility to better understand each problem by discussing with the relevant stakeholders. After assessing the needs of the stakeholders, you'll be responsible for the full cycle of development from initial data exploration to (if applicable) putting a model into production. (During the cycle, you'll receiving coaching from POPs managers and some support from our awesome Data Science team.)

Additionally, you may identify, research, and develop solutions for employee knowledge and skills gaps. You'll work with the Learning & Development manager, while collaborating with other managers, to gather data, design visualizations and present recommendations. For this work, you'll need to be an energetic, positive, creative, and performance-driven self-starter who can work independently.

What You'll Get To Do:

Support our POPs team by collecting, researching, and analyzing current data on employee engagement, choices, performance, and skills
Partner with internal stakeholders to understand business use cases, design and develop solutions, and present findings
Design solutions to improve data infrastructure and business intelligence to support decision making
Operationalize data processes: provide the team with ad-hoc analysis, dashboards, and reports so that everyone gets a good sense of the state of the workforce
Work out of our Champaign, IL, San Francisco, CA, or Des Moines, IA office

Our Ideal Candidate:

Current enrollment in a Bachelor, Masters or PhD program (anticipated graduation in 2020) pursuing Statistics, Mathematics, Computer Science, Engineering or analytical field
Strong analytical skills and experience with analytics tools (Excel, GoogleSheets, SQL, R, Python, Tableau, and other statistical or data analysis packages)
Exceptional communication and presentation skills
Team player mindset that takes ownership for a collective outcome and helps others along the way
Available to work 40 hours per week
Goal-oriented and self-motivated, with strong interpersonal skills
Comfortable in a fast-paced environment

Who We Are:
Granular combines the leadership and innovation of experienced entrepreneurs, advisors, and investors with the meaningful insights of farmers, agronomists, data scientists and engineers.

Our internal team has the rebellious, innovative business and technical acumen that defines Silicon Valley; this expertise has produced products including Granular Business ( https://granular.ag/farm-management-software/ ), Granular Agronomy ( https://granular.ag/agronomy/ ), AcreValue ( https://granular.ag/acrevalue/ ), and AgStudio.

Founded in February 2014, and backed by leading VC's like Andreessen Horowitz and Google Ventures, Granular is an independent subsidiary of Corteva, a spin off of DowDuPont™. We currently have offices in San Francisco, CA, Champaign, IL, Des Moines, IA and Cumming, GA. Learn more about our company and people here! ( https://drive.google.com/file/d/1BTtVwj9VOg3M1_y8AUDuVl3wifk5AhKB/view )",Data Analyst Intern
"San Jose, CA",California State University,"The Engineering Student Success Center Data Analyst administers and maintains advising technology tools and provides training and support to users in the college. The incumbent analyzes data to evaluate programs with statistical techniques, manages documentation in the ESSC, and keeps the website current.",ESCC Data Analyst (24951)
"Lexington, KY",University of Kentucky,"$25.65 an hourRequired License/Registration/Certification

Physical Requirements
Sitting for extended period of time.

Shift
40 hours a week M-F 8AM – 5PM

Job Summary
Collaborate with stakeholders to develop and implement analytical solutions to complex business problems related to higher education. These analytical solutions can include reports, extracts, statistical analyses, dashboards and data visualizations. This work will include the creation of analytical objects, including but not limited to: queries, reports, dashboards and data visualizations platforms using enterprise analytical software and data visualization tools. The results of this work will be used by executives to support the decision-making process, and by various stakeholders to inform decision on University policy and operations, and to make recommendations on future policy initiatives.
Make effective use of data quality reports to cleanse and update student data. Work closely with the user community to promote accurate data maintenance practices. Work closely with Associate Provost and Unit Leads to ensure accurate and timely reporting of standard and requested data. This position will work primarily on data related to student success initiatives. The analyst will work with stakeholders to fully understand and document business rules, and to utilize the data effectively in both standard reports and ad-hoc analyses.
Will be responsible for supporting the division’s growing data analysis needs, incorporating data across division units, the university and beyond. The importance of this position is a key factor contributing to the success of the multifaceted layers of analysis, deployment of resources, budget/finance models, scholarship leveraging, and support of division strategic directions impacting the entire University.
Effectively communicate with both business end-users and technical database developers. Over time, we expect the analyst to develop subject matter expertise in various aspects of student data (e.g., financial aid, campus housing, retention and graduation, etc.).
Attend seminars and training classes and complete independent research to keep abreast of changing technology. Always act in a professional manner, being helpful and courteous to team members, staff, and our user base. Work with customers and key stakeholders to utilize standard reports, build data dashboards and reports, and analyze data trends.

Skills / Knowledge / Abilities

Does this position have supervisory responsibilities? No

Preferred Education/Experience


University Community of Inclusion
The University of Kentucky is committed to a diverse and inclusive workforce by ensuring all our students, faculty, and staff work in an environment of openness and acceptance. We strive to foster a community where people of all backgrounds, identities, and perspectives can feel secure and welcome. We also value the well-being of each of our employees and are dedicated to creating a healthy place to work, learn and live. In the interest of maintaining a safe and healthy environment for our students, employees, patients and visitors the University of Kentucky is a Tobacco & Drug Free campus.

As an Equal Opportunity Employer, we strongly encourage veterans, individuals with disabilities, women, and all minorities to consider our employment opportunities.

Any candidate offered a position may be required to pass pre-employment screenings as mandated by University of Kentucky Human Resources. These screenings may include a national background check and/or drug screen.",STEPS Data Analyst
Unknown,Unknown,"ContractJob SummaryThis resource to support API/Metadata/DQ business requirements with the following responsibilities.SME on OBIEE/BI reports and Finance domain knowledge (procurement, revenue, expense, etc.)Analytical and be able to document business use cases and user requirementsDocument test scenarios to verify workflow, data quality dashboard, metrics, metadata UIPublish user training documents for DQ, Metadata, and APIData modeling and Tableau report background – optional.Job Type: ContractExperience:API: 2 years (Preferred)Obiee: 3 years (Preferred)",Data Analyst
"South Jordan, UT 84095",Lendio,"$50,000 a yearJob Description

The Junior Data Analyst is a role specifically working with the Lendio Analytics Team to develop reports and tools that enable more strategic decision-making. In this role, you will work with an established business intelligence team to analyze, report, and present on key performance & operational metrics. You will also work with the technical aspects of data preparation, modeling, implementation. This position will primarily work with our marketing and business development departments but will have plenty of opportunity to do ad hoc analysis in other departments. The ideal candidate will have internship or 1-2 years work experience in an analytics role and is comfortable proactively exploring data to find insights and can bring potential solutions to the table before questions are asked.

Maintain close contact with Marketing and Business Development teams to ensure that new features and changes to partners and marketing strategy are introduced into the data warehouse to maintain optimal data flow from operational systems (CRM), through the data warehouse, and into the end user reporting tool, Domo
Data-gathering and analysis efforts as part of the analytics team leveraging a variety of listening and analysis tools, always looking to extract actionable insights
Interpret data, analyze results and prepare daily, weekly, monthly and ongoing reports via Excel, Domo, SQL, and Python
Prepare scheduled and ad hoc reports as necessary and provide supporting analysis and recommendations
Continuously innovate; learn new skills, develop your talents, and exercise a passion and drive to deliver excellence

Qualifications

Bachelor Degree in a data-oriented major (Finance, Economics, Business, Computer Science, etc) or equivalent work experience
1-2 years of experience in an Analyst role (Internships a plus)
SQL and Python experience required
Domo Certification a plus
Strong analytical skills with attention to detail and accuracy
Ability to work independently and as a contributor on a larger project
Effective communication skills with technical team members as well as business partners.
Additional Information

What we provide:
Competitive salary - this position's salary range $50k
All the tools you need to own your craft
People-centric work culture
A relaxed work environment
Bright colleagues to support you
A full suite of traditional benefits
Paid Vacation and Holidays - Your birthday is a Holiday
No relocation assistance provided
Learn more about Lendio from our team members:
http://reviews.greatplacetowork.com/lendio",Junior Data Analyst
"Vicksburg, MS",Mutual Credit Union,"$40,000 - $60,000 a yearMutual Credit Union has an excellent career opportunity for a Data Analyst. The successful candidate will turn data into information and information into insight. This position will be a vital member of the IT Department and provide basic support and troubleshooting to staff.Required Skills:Design, develop, and validate reporting controls and procedures to support business needs.Data mining using SQL and Crystal Reporting.Communicate complex technical information and concepts in a business-friendly approach.Support and troubleshooting basic IT issues.Manage the Core Processor and oversee system updates.Ability to organize and prioritize workflow.Promote a positive team atmosphere.Work well with others in all areas of the Credit Union.Work well under pressure in a fast-paced environment.Maintain a very high level of confidentiality.Required Experience3+ years of experience with data analysis orBachelor’s Degree in Data Analytics, Computer Science, Information Technology or similar field.Mutual Credit Union offers a competitive compensation and benefits package including health, dental, vision, life and short and long-term disability insurance as well as paid holidays, paid vacation and sick time, and retirement benefits.Job Type: Full-timeSalary: $40,000.00 to $60,000.00 /yearExperience:Data Analysis: 3 years (Preferred)Education:Bachelor's (Preferred)Benefits offered:Paid time offDental insuranceHealth insuranceHealthcare spending or reimbursement accounts such as HSAs or FSAsOther types of insuranceRetirement benefits or accounts",Data Analyst
"San Francisco, CA 94103",Glu Mobile,"Senior Data AnalystAs a Senior Data Analyst, you will be the analytical data partner for our game studios. You will work closely with Game Designers & Product Managers to transform subjective discussions about product into concise analytic questions that deliver actionable answers. You will take a leadership role in managing studio relationships, mentoring junior analysts & shaping the evolution of our analytics infrastructure. This is a high visibility role that will have a direct impact on the success of some of our biggest titles.*What You’ll Be Doing*Working with game teams to measure and optimize performance of titles in beta and after worldwide launch.Using state of the art big data technology, such as Hadoop or HP Vertica, to sift through billions of rows of data to answer challenging business questions.Helping design and analyze AB and multivariate experiments.Using Tableau to build dashboards that allow game teams to self serve custom data for their titles.Collaborating with game team to define telemetry of titles.Continuously learn new technologies that advance analytic function at Glu (e.g. R, D3, Python, etc…)*You’ll Be a Great Fit If You Have*5+ years experience as analyst, data scientist, or related quantitative role.High proficiency with SQL or HiveQL.Comfortable in UNIX, Python.Understanding of statistical analysis and familiarity with core statistical functions.Excellent presentation and communication skills.Passion for aggressively finding opportunity in data.*Extra Bonus Points If You Have*Passion for gaming.Experience with Hadoop, HP Vertica, and other big data technologies.Experience with modern programming languages (e.g. python, javascript, perl)Experience with statistical packages such as R or SAS.Predictive analytics or machine learning experience.Mentoring/management experience.All qualified applicants will receive consideration for employment. Glu is an equal opportunity employer committed to diversity in the workplace. We welcome people of different backgrounds and experiences to ensure a diverse and inclusive workplace.Job Type: Full-timeExperience:Python: 3 years (Required)AB Testing: 5 years (Required)SQL: 5 years (Required)Additional Compensation:BonusesBenefits offered:Paid time offHealth insuranceDental insuranceOther types of insuranceParental leaveGym memberships or discountsCommuting/travel assistanceFlexible schedulesWorkplace perks such as food/coffee and flexible work schedulesOthers",Sr. Data Analyst
"Mountain View, CA",Google,"Note: By applying to this position your application is automatically submitted to the following locations: Boulder, CO, USA; Mountain View, CA, USA

Minimum qualifications:
Bachelor's degree or equivalent practical experience.

2 years of experience in an analytical field.

2 years of experience at a management consulting firm or on a corporate strategy team.

Experience with programming languages and analysis tools.

Preferred qualifications:
Master's degree in Engineering or a technical/scientific field.

3 years of experience in a consumer-internet, web analytics, or related analytics role.

Ability to understand the implications of data analysis.

Effective data analysis skills in a business context, with the ability to present large data sets in a clear and compelling manner.

Demonstrable organizational and project management, and prioritization skills.
About the job
At gTech’s Users and Products team (gUP), our mission is to help users get the most out of Google. We represent the voice of Google's users and many of our partners globally, sharing insights with the larger Google organization to enable exceptional customer and product experiences.

gUP builds innovative solutions that take user experience and engagement with Google to the next level, supporting users across products, countries, cultures, incomes, and identities. We advocate for users through partnerships with product areas at Google (and some Alphabet businesses), supporting Google’s consumer products ecosystem and enabling numerous launches for Google’s consumer products each year.

We are committed to building an ever more diverse, equitable, and inclusive gUP, and consider this the foundation upon which individual, team, and user success are built. We're also committed to innovation not only in the content of our work, but in the way we work. Check out this blog post on our Chameleon program.
Google creates products and services that make the world a better place, and gTech’s role is to help bring them to life. Our teams of solution-oriented trusted advisors support millions of customers globally. Our solutions are rooted in our technical skill, product expertise, and a thorough understanding of our customers’ complex needs. Whether the answer is a bespoke solution to solve a unique problem, or a new tool that can scale across Google, everything we do aims to ensure our customers benefit from the full potential of Google products.

To learn more about gTech, check out our video . Responsibilities

Represent the user voice by analyzing data on top user issues across users support touch points (Help Center, user feedback, live support, social media, etc.).

Model data in order to create quantitative models to measure how support initiatives help drive user success with the product.

Design, develop, and complete analyses for regular user insights and strategic deep dives.

Scale operation and support processes through data insights and reporting automation.

Build consensus by facilitating broad collaboration with clear communication and documentation.
At Google, we don’t just accept difference—we celebrate it, we support it, and we thrive on it for the benefit of our employees, our products and our community. Google is proud to be an equal opportunity workplace and is an affirmative action employer. We are committed to equal employment opportunity regardless of race, color, ancestry, religion, sex, national origin, sexual orientation, age, citizenship, marital status, disability, gender identity or Veteran status. We also consider qualified applicants regardless of criminal histories, consistent with legal requirements. See also Google's EEO Policy and EEO is the Law. If you have a disability or special need that requires accommodation, please let us know by completing this form .","Data Analyst, Users and Products"
