Job Title,Company,Location,Summary
Data Scientist - Financial Technology Start Up!,Jobot,"San Francisco, CA 94107 (South Of Market area)","Strong experience with SQL and scientific computing languages (Python, R, etc.).Salary: $120,000 - $160,000 per year.What can we do for you?"
Data Scientist (Analytics) - Financial Technology Start Up!,Jobot,"San Francisco, CA 94107 (South Of Market area)","If you are a Data Scientist with a background in ANALYTICS, then please.Salary: $120,000 - $160,000 per year.What can we do for you?Fit? We are looking for…."
Data Scientist - Health Care,Jobot,"Emeryville, CA 94608","Data Scientist - Cutting Edge Health Care Start up!If you are a Data Scientist with a health care background, then please.What can we do for you?"
Data Scientist II,Kelly Services,"South San Francisco, CA 94080",Ensure the optimal development and implementation of pilot activities/projects are in alignment with program timeline and budget 3) tracking/supporting…
Data Scientist,Wish,,We are looking for Data Scientists focusing on analytics to:Proficient in R or Python for data analytics.Drive deep understanding of our user and product to…
Data Scientist - Experimentation,TrueAccord,,"Design effective experiments for product and machine learning models, while collaborating with product managers, designers, engineers, and data scientists."
Sr. Data Scientist,Woodruff Sawyer,,The members of this team will work closely with the VP of Commercial Lines Business Intelligence and other enterprise stakeholders to develop and roll out…
Data Scientist,Trovata,,"Research and implement novel machine learning and statistical approaches.Experience with modeling tools such as R, scikit-learn, MxNet, Tensorflow, numpy,…"
Data Scientist,Stitch Fix,,"As an example, this could mean providing client-specific inventory health information to the marketing team so that they can choose to acquire clients that will…"
Data Scientist - Client Recommendations,Stitch Fix,,You have 3+ years of experience implementing/designing machine learning algorithms.The client relationship team focuses on building algorithm-driven product…
Data Scientist,Akamai,,The Data Scientist’s responsibilities include: analyzing and validating data using data and statistical tools to ensure high data quality and reliable insights;…
Data scientist - Global Sales,PayPal,,You will partner with these teams to understand the insights they require to manage and grow their business and leverage cross-functional teams to develop and…
Microbiome Data Scientist,Siolta Therapeutics,,Must be capable of applying new knowledge and skills creatively while working both independently and collaboratively in fast paced development environment.
Data Scientist - Pet Insight Project,Whistle,,Perform population level statistical analysis to create insights to help veterinarians better manage the health of pets.
Data Systems Engineer,Wells Fargo Bank,"San Francisco, CA 94105 (Financial District area)",Knowledge and understanding of Artificial Intelligence (AI) disciplines such as Machine Learning or Natural Language Processing.3+ years of Linux experience.
Data Scientist II,Genentech Pro Unlimited,"Millbrae, CA 94030",Work closely with project pilot team to apply research/experimental skills to design pilot/data analysis read out of a new analytical project.
Data Scientist - Financial Technology Start Up!,Jobot,"San Francisco, CA 94107 (South Of Market area)","Strong experience with SQL and scientific computing languages (Python, R, etc.).Salary: $120,000 - $160,000 per year.What can we do for you?"
Data Scientist (Analytics) - Financial Technology Start Up!,Jobot,"San Francisco, CA 94107 (South Of Market area)","If you are a Data Scientist with a background in ANALYTICS, then please.Salary: $120,000 - $160,000 per year.This Jobot Job is hosted by: Shalimar Auer."
Data Scientist II,Genentech Pro Unlimited,"Millbrae, CA 94030",Work closely with project pilot team to apply research/experimental skills to design pilot/data analysis read out of a new analytical project.
Senior Product Data Scientist,DocuSign,,The Product Insights team powers the organization with insights that help make data-driven decisions.Be the subject matter expert for driving the product data…
Environmental Data Science Research Assistant,Lawrence Berkeley National Laboratory,,Berkeley Lab’s Earth and Environmental Sciences Area (EESA) has an opening for an Environmental Data Science Research Assistant to join an interdisciplinary…
Data Scientist,Vida,,"Required experience R, Python, SQL, NoSQL, Tableau, Spark, Linux, Machine Learning, Natural Language Processing.Health, Vision, Dental, Commuter Benefits."
Data Scientist,Akamai,,The Data Scientist’s responsibilities include: analyzing and validating data using data and statistical tools to ensure high data quality and reliable insights;…
Data Scientist,Wish,,We are looking for Data Scientists focusing on analytics to:Proficient in R or Python for data analytics.Drive deep understanding of our user and product to…
"Operations Data Analyst, Senior",Pacific Gas And Electric Company,,Manage complex data analysis projects with limited supervision from initial request to presenting data results ensuring that the project is completed accurately…
Data Scientist,Migo,,Feature engineering for machine learning.2+ years of work experience using machine learning for supervised and unsupervised learning.WHAT WE ARE LOOKING FOR.
Head of Risk Data Science,Funding Circle US,,Solid working knowledge of R / Python/ Text Mining tools.Core responsibility for this role would be managing a team of data scientists responsible for…
Data Science Manager,Sojern,,"The Data Science Engineering team develops methods to optimize advertising campaigns, defines new methods for measuring campaign performance, and applies…"
Senior Data Scientist,Aktana,,"Construct and fit statistical, machine learning and optimization models.Experience implementing machine learning algorithms."
"Director, Data Scientist",Jobot,"San Francisco, CA 94102 (Downtown area)","Unlimited PTO, generous health benefits with medical, dental and vision coverage.Deep knowledge of big data pipelines, API's and data modeling."
Data Scientist - Health Care,Jobot,"Emeryville, CA 94608","Data Scientist - Cutting Edge Health Care Start up!If you are a Data Scientist with a health care background, then please.What can we do for you?"
Senior Data Scientist (Flexible Location),Pacific Gas And Electric Company,"San Francisco, CA 94105 (Financial District area)","In creating these tools, the team employs a data supported, lean solution process to expand PG&E’s ability to assess and manage risk."
Data Scientist - Financial Technology Start Up!,Jobot,"San Francisco, CA 94107 (South Of Market area)","Strong experience with SQL and scientific computing languages (Python, R, etc.).This Jobot Job is hosted by:Based in San Francisco, CA.We can offer you the."
Data Systems Engineer,Wells Fargo Bank,"San Francisco, CA 94105 (Financial District area)",Knowledge and understanding of Artificial Intelligence (AI) disciplines such as Machine Learning or Natural Language Processing.3+ years of Linux experience.
Data Scientist II,Genentech Pro Unlimited,"Millbrae, CA 94030",Work closely with project pilot team to apply research/experimental skills to design pilot/data analysis read out of a new analytical project.
Expert Data Scientist (Flexible Location),Pacific Gas And Electric Company,,"In creating these tools, the team employs a data supported, lean solution process to expand PG&E’s ability to assess and manage risk."
"Data Scientist Intern, SBG Small Business Group (MBA)",Facebook,,"1+ years of experience in a data science or analytics capacity in a business strategy, marketing, finance, engineering, research or analytics organization."
Data Scientist,Trovata,,"Join our fast growing team of AWS cloud, machine learning/AI, Angular 6/7, and iOS engineers disrupting the corporate fintech sector with cash automation and…"
"Operations Data Analyst, Senior",Pacific Gas And Electric Company,,Manage complex data analysis projects with limited supervision from initial request to presenting data results ensuring that the project is completed accurately…
Data Scientist,Vida,,"Required experience R, Python, SQL, NoSQL, Tableau, Spark, Linux, Machine Learning, Natural Language Processing.Health, Vision, Dental, Commuter Benefits."
Sr Data Analyst,Federal Reserve Bank of San Francisco,,Passion for creating highly usable and thorough dashboards/visualizations to be consumed by executives and project teams.Federal Reserve Bank of San Francisco.
"Platform Curator, Artificial Intelligence and Machine Learni...",World Economic Forum LLC,,"Platform Curator, Artificial Intelligence and Machine Learning.(1) Artificial Intelligence and Machine Learning;Centre for the Fourth Industrial Revolution."
Machine Learning Engineer,GSK,,"A higher degree in Engineering, Statistics, Data Science, Applied Mathematics, Computer Science, Physics, Computational Biology, Computational Chemistry or…"
Environmental Data Science Research Assistant,Lawrence Berkeley National Laboratory,,Berkeley Lab’s Earth and Environmental Sciences Area (EESA) has an opening for an Environmental Data Science Research Assistant to join an interdisciplinary…
Senior Data Scientist,Tonal,,"Architect and build our AI and machine learning systems.Knowledge of machine learning, filtering, and cleansing techniques.5+ years data science experience."
Data Scientist - Health Care,Jobot,"Emeryville, CA 94608","Data Scientist - Cutting Edge Health Care Start up!If you are a Data Scientist with a health care background, then please.This Jobot Job is hosted by:"
Data Scientist (Analytics) - Financial Technology Start Up!,Jobot,"San Francisco, CA 94107 (South Of Market area)","If you are a Data Scientist with a background in ANALYTICS, then please.This Jobot Job is hosted by:Based in San Francisco, CA.What can we do for you?"
Senior Data Scientist (Flexible Location),Pacific Gas And Electric Company,"San Francisco, CA 94105 (Financial District area)","In creating these tools, the team employs a data supported, lean solution process to expand PG&E’s ability to assess and manage risk."
Environmental Data Science Research Assistant,Lawrence Berkeley National Laboratory,,Berkeley Lab’s Earth and Environmental Sciences Area (EESA) has an opening for an Environmental Data Science Research Assistant to join an interdisciplinary…
"Operations Data Analyst, Senior",Pacific Gas And Electric Company,,Manage complex data analysis projects with limited supervision from initial request to presenting data results ensuring that the project is completed accurately…
Head of Risk Data Science,Funding Circle US,,Solid working knowledge of R / Python/ Text Mining tools.Core responsibility for this role would be managing a team of data scientists responsible for…
"Director, Data Science - Client Services",Morning Consult,,"Familiarity with the following a plus: SQL, Qualtrics, JavaScript, Amazon Web Services, Python, Computational social science, Machine Learning."
"Data Scientist Intern, SBG Small Business Group (MBA)",Facebook,,"1+ years of experience in a data science or analytics capacity in a business strategy, marketing, finance, engineering, research or analytics organization."
Statistics Intern,Penumbra US,,"You will also be supporting the biostatistics, data management and clinical affairs teams, maintaining a high level of professional expertise through…"
Data Science Manager,Sojern,,"The Data Science Engineering team develops methods to optimize advertising campaigns, defines new methods for measuring campaign performance, and applies…"
"Data Scientist, Product Analytics - Ads",Roblox,,Spend roughly 70% of your time in product analytics and 30% machine learning.An expert with SQL and a scripting language such as Python or R. You're…
"Data Analyst Manager, Trust and Safety, YouTube Monetization",YouTube,,Experience in applying Machine Learning or Artificial Intelligence to solve large unstructured business problems.Manage the Data Analyst team.
高德 Computer Vision Research Scientist Bay Area,Alibaba,,Ph.D. in computer science or related fields (or 5+ years of equivalent research experience) - Expertise and knowledge in the state of the art of computer vision…
Data Scientist - Health Care,Jobot,"Emeryville, CA 94608","Data Scientist - Cutting Edge Health Care Start up!If you are a Data Scientist with a health care background, then please.What can we do for you?"
Data Systems Engineer,Wells Fargo Bank,"San Francisco, CA 94105 (Financial District area)",Knowledge and understanding of Artificial Intelligence (AI) disciplines such as Machine Learning or Natural Language Processing.3+ years of Linux experience.
Data Scientist II,Genentech Pro Unlimited,"Millbrae, CA 94030",Work closely with project pilot team to apply research/experimental skills to design pilot/data analysis read out of a new analytical project.
Senior Data Scientist (Flexible Location),Pacific Gas And Electric Company,"San Francisco, CA 94105 (Financial District area)","In creating these tools, the team employs a data supported, lean solution process to expand PG&E’s ability to assess and manage risk."
Data Scientist - Financial Technology Start Up!,Jobot,"San Francisco, CA 94107 (South Of Market area)","Strong experience with SQL and scientific computing languages (Python, R, etc.).Salary: $120,000 - $160,000 per year.What can we do for you?"
Data Scientist (Analytics) - Financial Technology Start Up!,Jobot,"San Francisco, CA 94107 (South Of Market area)","If you are a Data Scientist with a background in ANALYTICS, then please.Salary: $120,000 - $160,000 per year.This Jobot Job is hosted by: Shalimar Auer."
Machine Learning Engineer,GSK,,"A higher degree in Engineering, Statistics, Data Science, Applied Mathematics, Computer Science, Physics, Computational Biology, Computational Chemistry or…"
Senior Data Scientist,Wells Fargo,,"As part of the Conduct Risk Analytics team, the Analytic Consultant will be responsible for supporting the development, implementation, and execution of…"
Senior Data Analyst,Team Red Dog,,"Work with the Project Managers to establish metrics, KPIs, and determine what success looks like for a project.Why Work with Team Red Dog?"
Data Scientist,Everlane,,Ensure the integrity of the vast data sources feeding our analytics.Data Science and Analytics – Data.Everlane is seeking a Data Scientist to join our Data…
"Operations Data Analyst, Senior",Pacific Gas And Electric Company,,Manage complex data analysis projects with limited supervision from initial request to presenting data results ensuring that the project is completed accurately…
"Director, Data Science",CyberCube Analytics,,"Strong, numerate background with versatility in probability theory and machine learning.As a Director of Data Science for CyberCube, you will join our growing…"
Senior Data Scientist,DISH,,"You have a wide range of statistical and machine learning tools under your belt, and deep practical insight to choose the best tools for a given problem."
"Data Scientist Intern, SBG Small Business Group (MBA)",Facebook,,"1+ years of experience in a data science or analytics capacity in a business strategy, marketing, finance, engineering, research or analytics organization."
Sr Data Analyst,Federal Reserve Bank of San Francisco,,Passion for creating highly usable and thorough dashboards/visualizations to be consumed by executives and project teams.Federal Reserve Bank of San Francisco.
Statistician,US Department of Veterans Affairs,,Examining and applying data manipulation techniques in conjunction with various statistical methods to analyze very large healthcare clinical data sets that…
"Director, Data Scientist",Jobot,"San Francisco, CA 94102 (Downtown area)","Unlimited PTO, generous health benefits with medical, dental and vision coverage.Deep knowledge of big data pipelines, API's and data modeling."
Data Scientist - Health Care,Jobot,"Emeryville, CA 94608","Data Scientist - Cutting Edge Health Care Start up!If you are a Data Scientist with a health care background, then please.This Jobot Job is hosted by:"
Data Scientist II,Genentech Pro Unlimited,"Millbrae, CA 94030",Work closely with project pilot team to apply research/experimental skills to design pilot/data analysis read out of a new analytical project.
Senior Data Scientist (Flexible Location),Pacific Gas And Electric Company,"San Francisco, CA 94105 (Financial District area)","In creating these tools, the team employs a data supported, lean solution process to expand PG&E’s ability to assess and manage risk."
Data Scientist - Financial Technology Start Up!,Jobot,"San Francisco, CA 94107 (South Of Market area)","Strong experience with SQL and scientific computing languages (Python, R, etc.).This Jobot Job is hosted by:Based in San Francisco, CA.We can offer you the."
Data Scientist (Analytics) - Financial Technology Start Up!,Jobot,"San Francisco, CA 94107 (South Of Market area)","If you are a Data Scientist with a background in ANALYTICS, then please.Based in San Francisco, CA.We are a highly-ranked startup that is revolutionizing the…"
Senior Data Scientist,Wells Fargo,,"As part of the Conduct Risk Analytics team, the Analytic Consultant will be responsible for supporting the development, implementation, and execution of…"
"Director, Data Science - Client Services",Morning Consult,,"SQL, Qualtrics, JavaScript, Amazon Web Services, Python, Computational social science, Machine Learning.Take ownership over all aspects of the data collection…"
Senior Data Scientist,Aktana,,"Construct and fit statistical, machine learning and optimization models.Experience implementing machine learning algorithms."
Data Science Manager,Sojern,,"The Data Science Engineering team develops methods to optimize advertising campaigns, defines new methods for measuring campaign performance, and applies…"
Sr Data Science Manager - Financial Products,Uber,,"You will build a team that interacts with product, design, marketing, engineering, and partnerships to propose insights, build and monitor KPIs, develop…"
"Machine Learning Engineer, Marketplace",UserTesting,,"Design, build, develop, validate, productionize, monitor, and maintain machine learning and deep learning models.Expertise in several of the following domains:"
"Director, Data Science",CyberCube Analytics,,"Strong, numerate background with versatility in probability theory and machine learning.Deep knowledge of data pipelines, APIs and data modeling."
"Computational and Data Science Research Specialist (6104U),...",University of California Berkeley,,Works regularly with domain scientists where applicable to perform these responsibilities and uses domain science knowledge where relevant.
Quantitative Researcher,MSCI Inc.,,Experience with Machine Learning methodologies and AI is desired.Research and development of asset pricing models and risk methodologies contributing to MSCI…
Connected Learning Program Manager (7398U) Job 3114 - Data S...,University of California Berkeley,,Identifies and develops evaluation tools for student research and project management.Monitors and analyzes participant trends of interest.
Data Scientist - Health Care,Jobot,"Emeryville, CA 94608","If you are a Data Scientist with a health care background, then please.Working knowledge of health care systems and healthcare terminology a requirement."
Data Systems Engineer,Wells Fargo Bank,"San Francisco, CA 94105 (Financial District area)",Knowledge and understanding of Artificial Intelligence (AI) disciplines such as Machine Learning or Natural Language Processing.1+ year of Agile experience.
Data Scientist II,Genentech Pro Unlimited,"Millbrae, CA 94030",Work closely with project pilot team to apply research/experimental skills to design pilot/data analysis read out of a new analytical project.
Senior Data Scientist (Flexible Location),Pacific Gas And Electric Company,"San Francisco, CA 94105 (Financial District area)","In this role you will work as part of cross functional teams, including other data scientists, technology experts, and subject matter experts to develop data…"
Data Scientist - Financial Technology Start Up!,Jobot,"San Francisco, CA 94107 (South Of Market area)","Based in San Francisco, CA.We are a highly-ranked startup that is revolutionizing the financial tech space!What can we do for you?We can offer you the."
Data Scientist (Analytics) - Financial Technology Start Up!,Jobot,"San Francisco, CA 94107 (South Of Market area)","This Jobot Job is hosted by:Based in San Francisco, CA.We are a highly-ranked startup that is revolutionizing the financial tech space!We can offer you the."
"Senior Data Scientist, Energy Platform",Shell,,"Builds, on a daily basis, machine learning and deep learning models, optimizing for deployability and scalability of methods.Python, R, Go, C++, Scala, etc."
Connected Learning Program Manager (7398U) Job 3114 - Data S...,University of California Berkeley,,"The Division's dynamic structure connects computing, statistics, the humanities, and social and natural sciences to create a vibrant and collaborative…"
Machine Learning Engineer,GSK,,"A higher degree in Engineering, Statistics, Data Science, Applied Mathematics, Computer Science, Physics, Computational Biology, Computational Chemistry or…"
Data Scientist - Pet Insight Project,Whistle,,Perform population level statistical analysis to create insights to help veterinarians better manage the health of pets.
Microbiome Data Scientist,Siolta Therapeutics,,Must be capable of applying new knowledge and skills creatively while working both independently and collaboratively in fast paced development environment.
"Software Developer in Test, Machine Learning",Osaro,,Experience with classical machine learning and deep learning techniques.We are searching for a full-time SDT for Machine Learning whose work will help us…
"Lead Machine Learning Engineer, Entity Understanding",Glassdoor,,Deep understanding and hands-on experience in applying machine learning solutions to solve real-world NLP problems.Glassdoor is a Pledge 1% member;
"Full Stack Engineer, AI Labs",Uber,,"Work closely with AI Labs researchers to co-create new classes of actionable insights through data mining, machine learning and visualization."
Data Scientist,Everlane,,"Ensure the integrity of the vast data sources feeding our analytics.Expertise in R, Python, or another data science suitable language."
"Sr. Data Scientist - Clinical Imaging, Personalized Healthca...",Genentech,,The PD PHC Clinical Imaging Scientist participates in development of imaging biomarker component of clinical strategies for the assigned molecule(s)/indication…
Data Systems Engineer,Wells Fargo Bank,"San Francisco, CA 94105 (Financial District area)",Knowledge and understanding of Artificial Intelligence (AI) disciplines such as Machine Learning or Natural Language Processing.3+ years of Linux experience.
Data Scientist - Health Care,Jobot,"Emeryville, CA 94608","Data Scientist - Cutting Edge Health Care Start up!If you are a Data Scientist with a health care background, then please.This Jobot Job is hosted by:"
Data Scientist II,Genentech Pro Unlimited,"Millbrae, CA 94030",Work closely with project pilot team to apply research/experimental skills to design pilot/data analysis read out of a new analytical project.
Senior Data Scientist (Flexible Location),Pacific Gas And Electric Company,"San Francisco, CA 94105 (Financial District area)","In creating these tools, the team employs a data supported, lean solution process to expand PG&E’s ability to assess and manage risk."
Data Scientist - Financial Technology Start Up!,Jobot,"San Francisco, CA 94107 (South Of Market area)","Strong experience with SQL and scientific computing languages (Python, R, etc.).This Jobot Job is hosted by:Based in San Francisco, CA.We can offer you the."
Data Scientist (Analytics) - Financial Technology Start Up!,Jobot,"San Francisco, CA 94107 (South Of Market area)","If you are a Data Scientist with a background in ANALYTICS, then please.This Jobot Job is hosted by:Based in San Francisco, CA.What can we do for you?"
Data Scientist II,Genentech Pro Unlimited,"Millbrae, CA 94030",Work closely with project pilot team to apply research/experimental skills to design pilot/data analysis read out of a new analytical project.
Data Scientist,Everlane,,"Expertise in R, Python, or another data science suitable language.Data Science and Analytics – Data.Work with business stakeholders to create metrics and self…"
"Full Stack Engineer, AI Labs",Uber,,"Work closely with AI Labs researchers to co-create new classes of actionable insights through data mining, machine learning and visualization."
"Sr. Data Scientist - Clinical Imaging, Personalized Healthca...",Genentech,,The PD PHC Clinical Imaging Scientist participates in development of imaging biomarker component of clinical strategies for the assigned molecule(s)/indication…
Sr Research Engineer - Uber AI,Uber,,"You are passionate about understanding machine learning, as well as productionizing and testing scientific ideas in the real world."
Senior Data Analyst,Poshmark,,"Extract required data from internal systems, lead analytics projects and monitor key trends in relevant metrics.Expert knowledge of SQL and MS Excel."
Senior Data Analyst,Dictionary.com,,"Proven experience applying analytics skills to drive insights and decision making.The Senior Data Analyst uses advanced data extraction, data manipulation and…"
"Sales Director, Data Science and Artificial Intelligence Pro...",Grid Dynamics,,"You will also be expected to farm the accounts to grow them to multi-million dollar relationships with a focus on selling high-value data science, machine…"
Senior Machine Learning Engineer,Migo,,"As an experienced machine learning engineer, you would own the entire machine learning pipeline from data sourcing and training to model serving, helping us…"
Senior Statistical Programmer,"Seattle Genetics, Inc.",,"Review and provide feedback on deliverables from other clinical groups including but not limited to statistical analysis plans, table, listing, and figure…"
"Senior Software Engineer, Data Science",LiveRamp,,"Our products are highly automated with respect to client onboarding, data management and machine learning workflows, as well as client delivery."
Data Systems Engineer,Wells Fargo Bank,"San Francisco, CA 94105 (Financial District area)",Knowledge and understanding of Artificial Intelligence (AI) disciplines such as Machine Learning or Natural Language Processing.3+ years of Linux experience.
Data Scientist - Health Care,Jobot,"Emeryville, CA 94608","Data Scientist - Cutting Edge Health Care Start up!If you are a Data Scientist with a health care background, then please.What can we do for you?"
Senior Data Scientist (Flexible Location),Pacific Gas And Electric Company,"San Francisco, CA 94105 (Financial District area)","In creating these tools, the team employs a data supported, lean solution process to expand PG&E’s ability to assess and manage risk."
Data Scientist - Financial Technology Start Up!,Jobot,"San Francisco, CA 94107 (South Of Market area)","Strong experience with SQL and scientific computing languages (Python, R, etc.).Salary: $120,000 - $160,000 per year.What can we do for you?"
Data Scientist (Analytics) - Financial Technology Start Up!,Jobot,"San Francisco, CA 94107 (South Of Market area)","If you are a Data Scientist with a background in ANALYTICS, then please.Salary: $120,000 - $160,000 per year.This Jobot Job is hosted by: Shalimar Auer."
Senior Data Analyst,Dictionary.com,,"Proven experience applying analytics skills to drive insights and decision making.The Senior Data Analyst uses advanced data extraction, data manipulation and…"
Senior Data Analyst,Poshmark,,"Extract required data from internal systems, lead analytics projects and monitor key trends in relevant metrics.Expert knowledge of SQL and MS Excel."
Machine Learning Engineer - Advisory – Manager,EY,,"Look end-to end at a business problem, building hypothesis, writing machine learning models, and training/testing/deploying those models."
"Sales Director, Data Science and Artificial Intelligence Pro...",Grid Dynamics,,"You will also be expected to farm the accounts to grow them to multi-million dollar relationships with a focus on selling high-value data science, machine…"
Sr Software Engineer - Machine Learning,Aktana,,3+ years of relevant experience with a proven track record of developing algorithms and machine learning products for production ready recommendation or…
Senior Clinical Data Scientist-Contractor,Santen Inc,,The Senior Clinical Data Scientist is responsible for Clinical Data Management (CDM) support for Santen's clinical studies following Santen's Standard Operating…
Deep Learning Research Engineer,Caption Health,,"Deep theoretical and practical knowledge of machine learning principles and deep neural network techniques (separable and 3D convolutions, inference…"
Computer Vision Engineer,Plenty,,"Plenty's opportunities to apply computer vision and machine learning are diverse and include applications in plant phenotyping, product quality inspections,…"
Senior Data Scientist,DISH,,"You have a wide range of statistical and machine learning tools under your belt, and deep practical insight to choose the best tools for a given problem."
Artificial Intelligence Lead,udelv,,At Udelv we are creating a new type of driverless vehicle.In January 2018 Udelv successfully accomplished the first ever autonomous commercial “last mile”…
Data Systems Engineer,Wells Fargo Bank,"San Francisco, CA 94105 (Financial District area)",Knowledge and understanding of Artificial Intelligence (AI) disciplines such as Machine Learning or Natural Language Processing.3+ years of Linux experience.
Data Scientist - Health Care,Jobot,"Emeryville, CA 94608","Data Scientist - Cutting Edge Health Care Start up!If you are a Data Scientist with a health care background, then please.This Jobot Job is hosted by:"
Data Scientist II,Genentech Pro Unlimited,"Millbrae, CA 94030",Work closely with project pilot team to apply research/experimental skills to design pilot/data analysis read out of a new analytical project.
Senior Data Scientist (Flexible Location),Pacific Gas And Electric Company,"San Francisco, CA 94105 (Financial District area)","In creating these tools, the team employs a data supported, lean solution process to expand PG&E’s ability to assess and manage risk."
Data Scientist - Financial Technology Start Up!,Jobot,"San Francisco, CA 94107 (South Of Market area)","Strong experience with SQL and scientific computing languages (Python, R, etc.).This Jobot Job is hosted by:Based in San Francisco, CA.We can offer you the."
Data Scientist (Analytics) - Financial Technology Start Up!,Jobot,"San Francisco, CA 94107 (South Of Market area)","If you are a Data Scientist with a background in ANALYTICS, then please.This Jobot Job is hosted by:Based in San Francisco, CA.What can we do for you?"
Computer Vision Engineer,DeepMotion,,"DeepMotion is building a platform for motion intelligence powered by advanced physics simulation, computer vision and machine learning pipelines."
Senior Data Analyst,Poshmark,,"Extract required data from internal systems, lead analytics projects and monitor key trends in relevant metrics.Expert knowledge of SQL and MS Excel."
Machine Learning Engineer - Advisory – Manager,EY,,"Look end-to end at a business problem, building hypothesis, writing machine learning models, and training/testing/deploying those models."
"Senior Staff Software Engineer, Machine Learning Infrastruct...",Etsy,,Etsy is looking for a Senior Staff Software Engineer to join our Machine Learning Infrastructure team to build the next generation Machine Learning Platform and…
"Senior Software Engineer, Machine Learning",Chime,,"In this role, you'll be a part of the Machine Learning and Data Science team that combats fraud, improves member experience, creates recommendations for users…"
Senior Software Engineer - Machine Learning,Sony Interactive Entertainment PlayStation,,Experience in building and deploying impactful machine learning models in production.Expertise in ML and statistical learning with a deep understanding of the…
Autonomy Engineer - Computer Vision,Skydio,,"Deep Learning - training data, neural networks, online learning.We are looking for people who bring together an understanding of the relevant theory, solid…"
Applied ML Engineer,Determined AI,,In Machine Learning / Math / Computer Science or equivalent deep theoretical knowledge of machine learning algorithms.We use Github to manage our work;
Senior Data Scientist,DISH,,"You have a wide range of statistical and machine learning tools under your belt, and deep practical insight to choose the best tools for a given problem."
Senior ML Engineer,light.io,,"MS in Machine Learning/similar field or 2+ years industry experience with deep learning.Experience with image and/or video-based machine learning tasks, e.g.…"
Data Systems Engineer,Wells Fargo Bank,"San Francisco, CA 94105 (Financial District area)",Knowledge and understanding of Artificial Intelligence (AI) disciplines such as Machine Learning or Natural Language Processing.3+ years of Linux experience.
Data Scientist - Health Care,Jobot,"Emeryville, CA 94608","Data Scientist - Cutting Edge Health Care Start up!If you are a Data Scientist with a health care background, then please.This Jobot Job is hosted by:"
Data Scientist II,Genentech Pro Unlimited,"Millbrae, CA 94030",Work closely with project pilot team to apply research/experimental skills to design pilot/data analysis read out of a new analytical project.
Senior Data Scientist (Flexible Location),Pacific Gas And Electric Company,"San Francisco, CA 94105 (Financial District area)","In creating these tools, the team employs a data supported, lean solution process to expand PG&E’s ability to assess and manage risk."
Data Scientist - Financial Technology Start Up!,Jobot,"San Francisco, CA 94107 (South Of Market area)","Strong experience with SQL and scientific computing languages (Python, R, etc.).This Jobot Job is hosted by:Based in San Francisco, CA.We can offer you the."
Data Scientist (Analytics) - Financial Technology Start Up!,Jobot,"San Francisco, CA 94107 (South Of Market area)","If you are a Data Scientist with a background in ANALYTICS, then please.This Jobot Job is hosted by:Based in San Francisco, CA.What can we do for you?"
